"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
NA,"3H0","aggression",NA,"F","2018-02-13","JN","scan","agonsim.loser","AM"
"4G8","7G1","aggression","M",NA,"2018-02-15","JN","scan","agonsim.winner","AM"
"0M1","90T","aggression","M",NA,"2018-02-16","JN","scan","agonsim.winner","AM"
"61R","2G4","aggression","M","M","2018-02-16","JN","scan","agonsim.winner","AM"
"6K5",NA,"aggression","M","M","2018-02-20","JN","scan","agonsim.winner","AM"
"0M1",NA,"aggression","M",NA,"2018-02-21","JN","scan","agonsim.winner","AM"
"1G0",NA,"aggression","F","M","2018-02-21","JN","scan","agonsim.winner","AM"
"93T","5L8","aggression","F",NA,"2018-03-06","JN","scan","agonsim.winner","PM"
"93T","5L8","aggression",NA,"F","2018-03-06","JN","scan","agonsim.loser","PM"
"77I","6K5","aggression","M",NA,"2018-03-08","JN","scan","agonsim.winner","AM"
"9C1","51Z","aggression","F","F","2018-04-02","JN","scan","agonsim.winner","AM"
"12O","3I6","aggression","M","M","2018-04-03","JN","scan","agonsim.loser","AM"
"4C9","1B0","aggression","F","F","2018-04-03","JN","scan","agonsim.winner","AM"
"4C9","1B0","aggression","F","F","2018-04-03","JN","scan","agonsim.loser","AM"
"3I9","1F2","aggression",NA,"M","2018-04-04","JN","scan","agonsim.loser","AM"
"3I9","1F2","aggression","M",NA,"2018-04-04","JN","scan","agonsim.winner","AM"
"3I9","5B0","aggression","M",NA,"2018-04-04","JN","scan","agonsim.winner","AM"
"9C1","2K1","aggression",NA,"F","2018-04-13","JN","scan","agonsim.loser","AM"
"32Z","2N8","aggression","M",NA,"2018-04-16","JN","scan","agonsim.winner","AM"
"3K1","5K8","aggression","M","M","2018-04-17","JN","scan","agonsim.winner","AM"
"3J7","36V","aggression",NA,"M","2018-04-20","JN","scan","agonsim.loser","AM"
"4J4","2I3","aggression","F","M","2018-04-24","JN","scan","agonsim.winner","PM"
"JM","2I3","aggression","F","F","2018-04-25","JN","scan","agonsim.loser","AM"
"2I3","1G6","aggression",NA,"F","2018-04-25","JN","scan","agonsim.loser","PM"
"4G8","2D0","aggression","M",NA,"2018-04-26","JN","scan","agonsim.winner","AM"
"9E3","5L4","aggression","M",NA,"2018-04-27","JN","scan","agonsim.winner","AM"
"JF","2G3","aggression",NA,"F","2018-04-30","JN","scan","agonsim.loser","AM"
"2K6","9F9","aggression","F","M","2018-05-02","JN","scan","agonsim.winner","AM"
"6K5","8J3","aggression",NA,"M","2018-05-10","JN","scan","agonsim.loser","AM"
"5E8","1G0","aggression","F",NA,"2018-05-11","JN","scan","agonsim.winner","AM"
"12O","JM","aggression","F",NA,"2018-05-11","JN","scan","agonsim.winner","AM"
"2K5","81O","aggression","M",NA,"2018-05-11","JN","scan","agonsim.winner","AM"
"1K1","9M8","aggression","F",NA,"2018-05-17","JN","scan","agonsim.winner","AM"
"2K5","36V","aggression",NA,"M","2018-05-23","JN","scan","agonsim.loser","AM"
"3I6","3K1","aggression","M","M","2018-05-23","JN","scan","agonsim.loser","AM"
"2G4","1K2","aggression",NA,"F","2018-05-25","JN","scan","agonsim.loser","AM"
"2K6","JM","aggression","F","M","2018-05-25","JN","scan","agonsim.winner","PM"
"9C1","JF","aggression","F","F","2018-05-29","JN","scan","agonsim.winner","AM"
"1K1","4C9","aggression","F",NA,"2018-05-31","JN","scan","agonsim.winner","AM"
"6E6","JM","aggression","M",NA,"2018-05-31","JN","scan","agonsim.winner","PM"
"JF","45Z","aggression","F","F","2018-06-01","JN","scan","agonsim.loser","AM"
"0H8","7M8","aggression","M",NA,"2018-06-01","JN","scan","agonsim.winner","PM"
"4C9","2K1","aggression",NA,"F","2018-06-06","JN","scan","agonsim.loser","PM"
"2N8","JM","aggression","M","M","2018-06-07","JN","scan","agonsim.winner","AM"
"2G4","9E8","aggression",NA,"F","2018-06-07","JN","scan","agonsim.loser","AM"
"2E4","JF","aggression","F",NA,"2018-06-13","JN","scan","agonsim.winner","AM"
"9C1","4C5","aggression",NA,"M","2018-06-13","JN","scan","agonsim.loser","AM"
"2K4","4J4","aggression","M",NA,"2018-06-13","JN","scan","agonsim.winner","PM"
"1B0","1I6","aggression",NA,"F","2018-06-20","JN","scan","agonsim.loser","AM"
"9C1","5L8","aggression","F","F","2018-06-21","JN","scan","agonsim.winner","AM"
"33T","JM","aggression","M","M","2018-06-25","JN","scan","agonsim.winner","AM"
"JF","9C1","aggression","F","F","2018-06-26","JN","scan","agonsim.loser","AM"
"2G2","1B0","aggression","F","M","2018-07-02","JN","scan","agonsim.winner","AM"
"1K1","1I5","aggression","F","F","2018-07-05","JN","scan","agonsim.loser","AM"
"7G1","0G1","aggression","F","M","2018-07-06","JN","scan","agonsim.winner","AM"
"4E2","36V","aggression","M",NA,"2018-07-11","JN","scan","agonsim.winner","AM"
"4E2","36V","aggression",NA,"M","2018-07-11","JN","scan","agonsim.loser","AM"
"1K1","3H0","aggression","F",NA,"2018-07-12","JN","scan","agonsim.winner","AM"
"1K1","4C9","aggression","F",NA,"2018-07-12","JN","scan","agonsim.winner","AM"
"7G1","8J3","aggression","F","M","2018-07-13","JN","scan","agonsim.winner","AM"
"8N3","2G2","aggression","F",NA,"2018-07-17","JN","scan","agonsim.winner","AM"
"1I5","2G3","aggression","F","F","2018-07-17","JN","scan","agonsim.winner","AM"
"5N5","7K4","aggression",NA,"M","2018-08-14","JN","scan","agonsim.loser","PM"
"5N5","7K4","aggression","M",NA,"2018-08-14","JN","scan","agonsim.winner","PM"
"1I5","1I6","aggression","F","F","2018-08-21","JN","scan","agonsim.winner","AM"
"1K1","JF","aggression","F",NA,"2018-08-27","JN","scan","agonsim.winner","AM"
"04T","1F2","aggression",NA,"M","2018-09-17","JN","scan","agonsim.loser","PM"
"5E8","2G2","aggression","F",NA,"2018-10-04","JN","scan","agonsim.winner","AM"
"2J7","JF","aggression","F","F","2017-01-18","JN","scan","agonsim.winner","AM"
"27J","97Z","aggression","M","M","2017-01-18","JN","scan","agonsim.winner","AM"
"8H2","9H9","aggression","M","M","2017-01-18","JN","scan","agonsim.winner","AM"
"7F0","INF","aggression","F","F","2017-01-18","JN","scan","agonsim.winner","AM"
"8C9","2C4","aggression","M","M","2017-01-18","JN","scan","agonsim.winner","AM"
"5J3","8C9","submit","M","M","2017-01-18","JN","scan","agonsim.loser","AM"
"73Z","1C5","aggression","F","F","2017-01-18","JN","scan","agonsim.loser","AM"
"56K","INF","aggression","M","M","2017-10-27","JN","scan","agonsim.winner","AM"
"4F1","JF","aggression","F","F","2017-10-27","JN","scan","agonsim.winner","AM"
"ADULT FEMALE","5J3","aggression","M","M","2017-10-27","JN","scan","agonsim.loser","AM"
"6L3","JM","aggression","M","M","2017-11-02","JN","scan","agonsim.winner","AM"
"11Z","JF","aggression","M",NA,"2017-11-02","JN","scan","agonsim.winner","AM"
"5K0","1M8","aggression","M","M","2017-11-03","JN","scan","agonsim.winner","AM"
NA,"7F0","submit","F","F","2017-11-03","JN","scan","agonsim.loser","AM"
"1E2","37V","aggression","F","F","2017-11-03","JN","scan","agonsim.winner","AM"
"8L3","JM","aggression","F","F","2017-11-03","JN","scan","agonsim.winner","AM"
"6C2","9H9","aggression","F","F","2017-11-03","JN","scan","agonsim.winner","AM"
"JF","60R","aggression","F","F","2017-11-03","JN","scan","agonsim.loser","AM"
"6C2","9H9","aggression","F","M","2017-11-03","JN","scan","agonsim.loser","AM"
"JM","3F5","aggression","F","F","2017-11-08","JN","scan","agonsim.loser","AM"
"27N","98Z","aggression","M","F","2017-11-10","JN","scan","agonsim.winner","AM"
"4F1","6D9","aggression","F","F","2017-11-10","JN","scan","agonsim.winner","AM"
"27J","98Z","aggression","M","M","2017-11-10","JN","scan","agonsim.winner","AM"
"56K","5H4","aggression","M","M","2017-11-10","JN","scan","agonsim.winner","AM"
"9I8","49V","aggression","F","F","2017-11-10","JN","scan","agonsim.winner","AM"
"4F1","7J7","submit","F","F","2017-11-10","JN","scan","agonsim.winner","AM"
"73Z","6D4","aggression","F","F","2017-11-10","JN","scan","agonsim.loser","AM"
"49L","8L3","aggression","F","F","2017-11-10","JN","scan","agonsim.loser","AM"
"73Z","5M5","aggression","F","M","2017-11-15","JN","scan","agonsim.winner","AM"
"8C9","6D4","aggression","M","M","2017-11-15","JN","scan","agonsim.winner","AM"
"27J","51J","aggression","M","M","2017-11-15","JN","scan","agonsim.winner","AM"
"1E2","37V","aggression","F","F","2017-11-15","JN","scan","agonsim.winner","AM"
"6A9","INF","aggression","M",NA,"2017-11-15","JN","scan","agonsim.winner","AM"
"1E2","37V","aggression","F","F","2017-11-15","JN","scan","agonsim.winner","AM"
"5K0","1L1","aggression","M","M","2017-11-15","JN","scan","agonsim.winner","AM"
"9H9","6L1","submit","F","M","2017-11-15","JN","scan","agonsim.winner","AM"
"9N6","4F1","aggression","F","F","2017-11-15","JN","scan","agonsim.loser","AM"
"8C9","7J7","aggression","F","F","2017-11-15","JN","scan","agonsim.loser","AM"
"6C2","6L1","aggression","F","F","2017-11-15","JN","scan","agonsim.loser","AM"
"99L","6L3","aggression","M","M","2017-11-28","JN","scan","agonsim.winner","AM"
"6L3","6L4","aggression","M","M","2017-11-28","JN","scan","agonsim.winner","AM"
"JM","6L4","aggression","M","M","2017-11-28","JN","scan","agonsim.loser","AM"
"6D4","0M6","aggression","F","F","2017-11-30","JN","scan","agonsim.winner","AM"
"5H4","2J7","aggression","F","M","2017-11-30","JN","scan","agonsim.winner","AM"
"46Z","INF","aggression","M","M","2017-11-30","JN","scan","agonsim.winner","AM"
"97Z","3F5","aggression","F","F","2017-11-30","JN","scan","agonsim.loser","AM"
"24V","1E2","aggression","F","F","2017-11-30","JN","scan","agonsim.loser","AM"
"2J7","7F0","aggression","F","F","2017-11-30","JN","scan","agonsim.loser","AM"
"97Z","5K0","aggression","M","M","2017-11-30","JN","scan","agonsim.loser","AM"
"93O","9H9","aggression","F","M","2017-11-30","JN","scan","agonsim.loser","AM"
"JM","6M7","aggression","F","F","2017-11-30","JN","scan","agonsim.loser","AM"
"16R","3M3","aggression","M","M","2017-11-30","JN","scan","agonsim.loser","AM"
"2C4","4F1","aggression","F","F","2017-11-30","JN","scan","agonsim.loser","AM"
"7I8","9L9","aggression","F","F","2017-12-07","JN","scan","agonsim.winner","AM"
"0M6","51V","aggression","F","F","2017-12-07","JN","scan","agonsim.winner","AM"
"3M3","86Z","aggression","M","M","2017-12-07","JN","scan","agonsim.winner","AM"
"1E2","6D6","aggression","F","F","2017-12-07","JN","scan","agonsim.loser","AM"
"27J","8C9","aggression","M","M","2017-12-13","JN","scan","agonsim.winner","AM"
"5J3","8C9","aggression","M","M","2017-12-13","JN","scan","agonsim.winner","AM"
"46N","5J3","aggression","M","M","2017-12-13","JN","scan","agonsim.loser","AM"
"3F5","51V","aggression","F","F","2017-12-13","JN","scan","agonsim.loser","AM"
"46Z","93O","aggression","F","F","2017-12-13","JN","scan","agonsim.loser","AM"
"99L","JF","aggression","M","M","2017-12-14","JN","scan","agonsim.winner","AM"
"5H4","7J7","aggression","F","M","2017-12-14","JN","scan","agonsim.winner","AM"
"2C4","6D4","aggression","F","M","2017-12-14","JN","scan","agonsim.winner","AM"
"27N","27J","submit","M","F","2017-12-14","JN","scan","agonsim.winner","AM"
"97Z","8L3","aggression","F","F","2017-12-14","JN","scan","agonsim.loser","AM"
"9.00E+06","1M8","aggression","M","M","2017-12-14","JN","scan","agonsim.loser","AM"
"16R","24V","aggression","F","F","2017-12-14","JN","scan","agonsim.loser","AM"
"4D8","9I8","aggression","F","F","2017-12-14","JN","scan","agonsim.loser","AM"
"98Z","1C7","aggression","M","M","2017-12-21","JN","scan","agonsim.winner","AM"
"27J","6D6","aggression","M","M","2017-12-21","JN","scan","agonsim.winner","AM"
"1E2","6C2","aggression","F","F","2017-12-21","JN","scan","agonsim.winner","AM"
"8H2","6L1","aggression","F","F","2017-12-21","JN","scan","agonsim.loser","AM"
"4D8","6C2","aggression","F","F","2017-12-21","JN","scan","agonsim.loser","AM"
"73Z","97Z","aggression","F","M","2018-01-11","JN","scan","agonsim.winner","AM"
"6L3","2F2","aggression","M","M","2018-01-11","JN","scan","agonsim.winner","AM"
"56K","99L","aggression","M","M","2018-01-11","JN","scan","agonsim.winner","AM"
"2J7","7F0","aggression","F","F","2018-01-11","JN","scan","agonsim.winner","AM"
"5J3","6D6","aggression","M","M","2018-01-11","JN","scan","agonsim.winner","AM"
"51J","73Z","aggression","M","M","2018-01-11","JN","scan","agonsim.winner","AM"
"3F5","5M5","aggression","F","F","2018-01-11","JN","scan","agonsim.winner","PM"
"56K","1E2","aggression","M","M","2018-01-12","JN","scan","agonsim.winner","AM"
"2J7","4D8","aggression","F","F","2018-01-12","JN","scan","agonsim.winner","AM"
"3M3","INF","aggression","M","M","2018-01-12","JN","scan","agonsim.winner","AM"
"5J3","9I8","aggression","M","M","2018-01-12","JN","scan","agonsim.winner","AM"
"24V","4F1","aggression","F","F","2018-01-12","JN","scan","agonsim.loser","AM"
"2C4","7I8","aggression","F","F","2018-01-12","JN","scan","agonsim.loser","AM"
"98Z","3F7","aggression","M","M","2018-01-16","JN","scan","agonsim.winner","AM"
"8H2","6L1","aggression","F","F","2018-01-16","JN","scan","agonsim.loser","AM"
"97Z","0M6","aggression","F","F","2018-01-16","JN","scan","agonsim.loser","AM"
"JM","6L1","aggression","F","F","2018-01-16","JN","scan","agonsim.loser","AM"
"46Z","2J7","aggression","M","M","2018-01-17","JN","scan","agonsim.winner","AM"
"6L1","JM","aggression","F","F","2018-01-17","JN","scan","agonsim.winner","AM"
"51V","6L1","aggression","F","F","2018-01-17","JN","scan","agonsim.winner","AM"
"0K8","JF","aggression","F","M","2018-01-17","JN","scan","agonsim.winner","AM"
"6L4","5J3","aggression","M","M","2018-01-17","JN","scan","agonsim.winner","AM"
"73Z","5H4","aggression","F","M","2018-01-17","JN","scan","agonsim.winner","AM"
"3M3","4D8","aggression","M","M","2018-01-17","JN","scan","agonsim.winner","AM"
"56K","6D6","aggression","M","M","2018-01-17","JN","scan","agonsim.winner","AM"
"1E2","7F0","aggression","F","F","2018-01-17","JN","scan","agonsim.winner","AM"
"73Z","73Z","submit","F","M","2018-01-17","JN","scan","agonsim.loser","AM"
"56K","8L3","aggression","M","M","2018-01-19","JN","scan","agonsim.winner","AM"
"6C2","5J3","aggression","F","F","2018-01-19","JN","scan","agonsim.winner","AM"
"16R","98Z","aggression","M",NA,"2018-01-19","JN","scan","agonsim.winner","AM"
"5H4","INF","aggression","F","M","2018-01-19","JN","scan","agonsim.winner","AM"
"5H4","51V","aggression","F","M","2018-01-22","JN","scan","agonsim.winner","AM"
"JF","93O","aggression","F","F","2018-01-22","JN","scan","agonsim.loser","AM"
"JM","1L1","aggression","F","M","2018-01-22","JN","scan","agonsim.loser","AM"
"5H4","1C5","aggression","F","F","2018-01-22","JN","scan","agonsim.loser","AM"
"16R","6K6","aggression","F","F","2018-01-22","JN","scan","agonsim.loser","AM"
"3M3","7I8","aggression","M","M","2018-01-23","JN","scan","agonsim.winner","AM"
"JM","9N6","aggression","F","F","2018-01-23","JN","scan","agonsim.loser","AM"
"1E2","3F5","aggression","F","F","2018-01-23","JN","scan","agonsim.loser","AM"
"24V","9L9","aggression","F","F","2018-01-24","JN","scan","agonsim.winner","AM"
"6L3","5J3","aggression","M","M","2018-01-24","JN","scan","agonsim.winner","AM"
"73Z","51V","aggression","F","F","2018-01-24","JN","scan","agonsim.loser","AM"
"46Z","49V","aggression","F","F","2018-01-24","JN","scan","agonsim.loser","AM"
"8H2","44V","aggression","M","M","2018-01-25","JN","scan","agonsim.winner","AM"
"6L4","8H2","aggression","M","M","2018-01-25","JN","scan","agonsim.winner","AM"
"99L","5H4","aggression","M","M","2018-01-25","JN","scan","agonsim.winner","AM"
"6C2","2F2","aggression","F","F","2018-01-25","JN","scan","agonsim.winner","AM"
"4F1","7I8","aggression","F","F","2018-01-25","JN","scan","agonsim.winner","AM"
"2J7","2J7","submit","F","F","2018-01-25","JN","scan","agonsim.winner","AM"
"24V","1E2","submit","F","F","2018-01-25","JN","scan","agonsim.loser","AM"
"JF","5J3","aggression","M","M","2018-01-25","JN","scan","agonsim.loser","AM"
"30L","9L9","aggression","F","F","2018-01-25","JN","scan","agonsim.loser","AM"
"93O","1C5","aggression","F","F","2018-01-25","JN","scan","agonsim.loser","AM"
"46Z","1E2","aggression","F","F","2018-01-25","JN","scan","agonsim.loser","AM"
"3M3","83Z","aggression","F","F","2018-01-25","JN","scan","agonsim.loser","AM"
"0K8","9L9","aggression","F","M","2018-01-26","JN","scan","agonsim.winner","AM"
"46Z","76J","aggression","M","M","2018-01-26","JN","scan","agonsim.winner","AM"
"8L3","2J7","aggression","F","F","2018-01-26","JN","scan","agonsim.winner","AM"
"27J","6L1","submit","F","F","2018-01-26","JN","scan","agonsim.loser","AM"
"27J","5H4","submit","F","M","2018-01-26","JN","scan","agonsim.loser","AM"
"6D6",NA,"aggression","F","F","2018-01-26","JN","scan","agonsim.winner","AM"
"16R","99L","aggression","M","M","2018-01-26","JN","scan","agonsim.loser","AM"
"24V","2J7","aggression","F","F","2018-01-26","JN","scan","agonsim.loser","AM"
"24V","6L1","aggression","F","F","2018-01-30","JN","scan","agonsim.winner","AM"
"1J8","6D4","aggression","F","F","2018-01-30","JN","scan","agonsim.loser","AM"
"1E2","4F1","aggression","F","F","2018-01-30","JN","scan","agonsim.loser","AM"
"98Z","2F2","aggression","M","M","2018-02-01","JN","scan","agonsim.winner","AM"
"0K8","6M7","aggression","F","F","2018-02-01","JN","scan","agonsim.loser","AM"
"JF","4D8","aggression","F","F","2018-02-01","JN","scan","agonsim.loser","AM"
"1J8","73Z","aggression","F","M","2018-02-01","JN","scan","agonsim.loser","AM"
"27N","8C9","aggression","M","M","2018-02-01","JN","scan","agonsim.loser","AM"
"0L5","8C9","aggression","M","M","2018-02-02","JN","scan","agonsim.winner","AM"
"JM","0J5","aggression","F","F","2018-02-02","JN","scan","agonsim.loser","AM"
"73Z","51V","aggression","F","F","2018-02-02","JN","scan","agonsim.loser","AM"
"6C2","1C5","aggression","F","F","2018-02-02","JN","scan","agonsim.loser","AM"
"5H4","4D8","aggression","F","M","2018-02-05","JN","scan","agonsim.winner","AM"
"1E2","4F1","submit","F","F","2018-02-05","JN","scan","agonsim.winner","AM"
"7I8","1L1","submit","F","M","2018-02-05","JN","scan","agonsim.loser","AM"
NA,"4M9","aggression","F","F","2018-02-05","JN","scan","agonsim.loser","AM"
"8H2","2J7","aggression","F","F","2018-02-05","JN","scan","agonsim.loser","AM"
"46Z","0M6","aggression","F","F","2018-02-05","JN","scan","agonsim.loser","AM"
"9H9","1L1","aggression","F","M","2018-02-05","JN","scan","agonsim.loser","AM"
"73Z","76J","aggression","F","M","2018-02-05","JN","scan","agonsim.loser","AM"
"JM","1E2","aggression","F","F","2018-02-05","JN","scan","agonsim.loser","AM"
"24V","3F5","aggression","F","F","2018-02-05","JN","scan","agonsim.loser","AM"
"6L4","0M6","aggression","M","M","2018-02-06","JN","scan","agonsim.winner","AM"
"6C2","1L1","aggression","F","F","2018-02-13","JN","scan","agonsim.winner","AM"
"8L3","27N","aggression","F","F","2018-02-13","JN","scan","agonsim.winner","AM"
"44V","37V","aggression","F","M","2018-02-13","JN","scan","agonsim.winner","AM"
"99L","5L3","submit","M","M","2018-02-13","JN","scan","agonsim.winner","AM"
"6L4","7J7","submit","F","F","2018-02-13","JN","scan","agonsim.loser","AM"
"JF","76J","aggression","F","M","2018-02-13","JN","scan","agonsim.loser","AM"
"98Z","7J7","aggression","F","F","2018-02-13","JN","scan","agonsim.loser","AM"
"JF","8I9","aggression","F","F","2018-02-13","JN","scan","agonsim.loser","AM"
"6L4","5J3","aggression","M","M","2018-02-14","JN","scan","agonsim.winner","AM"
"76J","8I9","aggression","F","F","2018-02-14","JN","scan","agonsim.loser","AM"
"3M3","6L3","aggression","M","M","2018-02-14","JN","scan","agonsim.loser","AM"
"73Z","2C4","aggression","F","M","2018-02-14","JN","scan","agonsim.loser","AM"
"8C9","37V","aggression","F","F","2018-02-14","JN","scan","agonsim.loser","AM"
"9L9","7I8","aggression","F","F","2018-02-15","JN","scan","agonsim.winner","AM"
"5L3","5J3","aggression","M","M","2018-02-15","JN","scan","agonsim.winner","AM"
"46Z","6D6","submit","F","F","2018-02-15","JN","scan","agonsim.loser","AM"
"5J3","5K0","submit","M","M","2018-02-15","JN","scan","agonsim.winner","AM"
"49V","3F7","aggression","F","M","2018-02-15","JN","scan","agonsim.loser","AM"
"0K8","86Z","aggression","F","M","2018-02-20","JN","scan","agonsim.winner","AM"
"56K","0J5","aggression","F","F","2018-02-20","JN","scan","agonsim.loser","AM"
"27J","5J3","aggression","M","M","2018-02-20","JN","scan","agonsim.loser","AM"
"6L4","9L9","aggression","M","M","2018-02-21","JN","scan","agonsim.winner","AM"
"31S","6D9","aggression","M","M","2018-02-21","JN","scan","agonsim.winner","AM"
"8L3","2J7","aggression","F","F","2018-02-21","JN","scan","agonsim.winner","AM"
"31S","27J","aggression","M","M","2018-02-21","JN","scan","agonsim.winner","AM"
"6I9","7J7","submit","F","F","2018-02-21","JN","scan","agonsim.loser","AM"
"46Z","83Z","submit","M","M","2018-02-21","JN","scan","agonsim.winner","AM"
"0L5","2F2","submit","M","M","2018-02-21","JN","scan","agonsim.winner","AM"
"5L3","6C2","submit","F","F","2018-02-21","JN","scan","agonsim.loser","AM"
"6I9","3F5","aggression","F","F","2018-02-21","JN","scan","agonsim.loser","AM"
"99L","73Z","aggression","M","M","2018-02-22","JN","scan","agonsim.winner","AM"
"2C3","42T","aggression","F","M","2018-02-22","JN","scan","agonsim.winner","AM"
"0J5","1C5","aggression","F","F","2018-02-22","JN","scan","agonsim.winner","AM"
"2J7","4M9","aggression","F","F","2018-02-22","JN","scan","agonsim.winner","AM"
"6D4","JF","aggression","F","F","2018-02-22","JN","scan","agonsim.winner","AM"
"16R","8C9","aggression","M",NA,"2018-02-22","JN","scan","agonsim.winner","AM"
"6I9","6D9","submit","F",NA,"2018-02-22","JN","scan","agonsim.winner","AM"
"16R","31S","submit","M",NA,"2018-02-22","JN","scan","agonsim.winner","AM"
"27N","4D8","submit","F","F","2018-02-22","JN","scan","agonsim.loser","AM"
"6L3","83Z","submit","M","M","2018-02-22","JN","scan","agonsim.winner","AM"
"6I9","7I8","aggression","F","F","2018-02-22","JN","scan","agonsim.loser","AM"
"6D6","3F7","aggression","F","M","2018-02-22","JN","scan","agonsim.loser","AM"
"27J","2C3","aggression","M","M","2018-02-23","JN","scan","agonsim.winner","AM"
"5J3","4M9","aggression","M","M","2018-02-23","JN","scan","agonsim.winner","AM"
"0M6","8I9","submit","F","F","2018-02-23","JN","scan","agonsim.winner","AM"
"1J8","5J3","submit","F","M","2018-02-23","JN","scan","agonsim.winner","AM"
"1J8","76J","aggression","F","M","2018-02-23","JN","scan","agonsim.loser","AM"
"76J","8I9","aggression","F","F","2018-02-23","JN","scan","agonsim.loser","AM"
"6L4","0L5","aggression","M","M","2018-02-27","JN","scan","agonsim.winner","AM"
"73Z","0K8","aggression","F","M","2018-02-27","JN","scan","agonsim.winner","AM"
"16R","7I8","submit","M",NA,"2018-02-27","JN","scan","agonsim.winner","AM"
"5J3","0L5","submit","M","M","2018-02-27","JN","scan","agonsim.loser","AM"
"4D8","9H9","aggression","F","M","2018-02-27","JN","scan","agonsim.loser","AM"
"6I9","56K","aggression","M","M","2018-02-27","JN","scan","agonsim.loser","AM"
"6I9","1J8","aggression","F",NA,"2018-02-28","JN","scan","agonsim.winner","AM"
"46Z","JF","aggression","M","M","2018-02-28","JN","scan","agonsim.winner","AM"
"24V","4F1","aggression","F","F","2018-02-28","JN","scan","agonsim.winner","AM"
"4D8","6D9","submit","F","F","2018-02-28","JN","scan","agonsim.winner","AM"
"9.00E+06","6L3","aggression","M","M","2018-02-28","JN","scan","agonsim.loser","AM"
"2C3","7J7","aggression","F","F","2018-02-28","JN","scan","agonsim.loser","AM"
"6I9","2M4","aggression","F","M","2018-02-28","JN","scan","agonsim.loser","AM"
"56K","6L4","aggression","M","M","2018-03-01","JN","scan","agonsim.winner","AM"
"9N6","6D6","aggression","F","F","2018-03-01","JN","scan","agonsim.winner","AM"
"0K8","2C4","aggression","F","M","2018-03-01","JN","scan","agonsim.winner","AM"
