id,sex,dob,dod,remove.date,mother,father,behavioual.mother,group.at.birth,birth.season,group.at.death,yob,yod
I176H6,F,2016-07-11,NA,NA,NA,NA,6H6,HH,2017,NA,2016,NA
I1753Z,F,2016-07-12,NA,NA,NA,NA,53Z,V,2017,NA,2016,NA
I177K8,M,2016-07-12,NA,NA,NA,NA,7K8,V,2017,NA,2016,NA
I177L7,M,2016-07-12,NA,NA,NA,NA,7L7,HH,2017,NA,2016,NA
I177M6,F,2016-07-12,NA,NA,NA,NA,7M6,R,2017,NA,2016,NA
I179C7,F,2016-07-12,NA,NA,NA,NA,9C7,S,2017,NA,2016,NA
I172J2,M,2016-07-13,NA,NA,NA,NA,2J2,F,2017,NA,2016,NA
I173F7,M,2016-07-13,NA,NA,NA,NA,3F7,KK,2017,NA,2016,NA
I174N5,F,2016-07-13,NA,NA,NA,NA,4N5,HH,2017,NA,2016,NA
I178O9,F,2016-07-13,NA,NA,NA,NA,8O9,KK,2017,NA,2016,NA
I1799Z,M,2016-07-13,NA,NA,NA,NA,99Z,R,2017,NA,2016,NA
I174P3,M,2016-07-14,NA,NA,NA,NA,4P3,S,2017,NA,2016,NA
I177I8,F,2016-07-14,NA,NA,NA,NA,7I8,KK,2017,NA,2016,NA
I178B0,M,2016-07-14,NA,NA,NA,NA,8B0,F,2017,NA,2016,NA
I172E8,M,2016-07-15,NA,NA,NA,NA,2E8,HH,2017,NA,2016,NA
I174J6,M,2016-07-15,NA,NA,NA,NA,4J6,HH,2017,NA,2016,NA
I178N6,F,2016-07-15,NA,NA,NA,NA,8N6,F,2017,NA,2016,NA
I179H7,F,2016-07-15,NA,NA,NA,NA,9H7,F,2017,NA,2016,NA
I171K1,F,2016-07-16,NA,NA,NA,NA,1K1,V,2017,NA,2016,NA
I171K5,M,2016-07-16,NA,NA,NA,NA,1K5,F,2017,NA,2016,NA
I172A2,M,2016-07-16,NA,NA,NA,NA,2A2,F,2017,NA,2016,NA
I175A1,M,2016-07-16,NA,NA,NA,NA,5A1,S,2017,NA,2016,NA
I171E7,M,2016-07-17,2016-07-26,NA,NA,NA,1E7,R,2017,R,2016,2016
I174M9,M,2016-07-17,NA,NA,NA,NA,4M9,KK,2017,NA,2016,NA
I176C0,F,2016-07-17,NA,NA,NA,NA,6C0,F,2017,NA,2016,NA
I176D4,M,2016-07-17,NA,NA,NA,NA,6D4,KK,2017,NA,2016,NA
I177F2,F,2016-07-17,NA,NA,NA,NA,7F2,R,2017,NA,2016,NA
I179I5,M,2016-07-17,NA,NA,NA,NA,9I5,HH,2017,NA,2016,NA
I174J3,M,2016-07-18,NA,NA,NA,NA,4J3,HH,2017,NA,2016,NA
I175M1,F,2016-07-18,NA,NA,NA,NA,5M1,R,2017,NA,2016,NA
I170E1,M,2016-07-19,NA,NA,NA,NA,0E1,R,2017,NA,2016,NA
I173F4,M,2016-07-19,NA,NA,NA,NA,3F4,R,2017,NA,2016,NA
I174I4,M,2016-07-19,NA,NA,NA,NA,4I4,R,2017,NA,2016,NA
I1764P,F,2016-07-19,NA,NA,NA,NA,64P,F,2017,NA,2016,NA
I178A5,M,2016-07-19,NA,NA,NA,NA,8A5,R,2017,NA,2016,NA
I179M4,F,2016-07-19,NA,NA,NA,NA,9M4,F,2017,NA,2016,NA
I171L5,M,2016-07-20,NA,NA,NA,NA,1L5,F,2017,NA,2016,NA
I171L7,M,2016-07-20,NA,NA,NA,NA,1L7,R,2017,NA,2016,NA
I1729Z,M,2016-07-20,NA,NA,NA,NA,29Z,F,2017,NA,2016,NA
I178F3,M,2016-07-20,NA,NA,NA,NA,8F3,F,2017,NA,2016,NA
I178L3,F,2016-07-20,NA,NA,NA,NA,8L3,KK,2017,NA,2016,NA
I170G3,M,2016-07-21,NA,NA,NA,NA,0G3,F,2017,NA,2016,NA
I173G3,F,2016-07-21,NA,NA,NA,NA,3G3,KK,2017,NA,2016,NA
I174F1,M,2016-07-21,NA,NA,NA,NA,4F1,KK,2017,NA,2016,NA
I174F8,M,2016-07-21,NA,NA,NA,NA,4F8,R,2017,NA,2016,NA
I1762S,M,2016-07-21,NA,NA,NA,NA,62S,HH,2017,NA,2016,NA
I1777V,M,2016-07-21,NA,NA,NA,NA,77V,R,2017,NA,2016,NA
I177C4,F,2016-07-21,NA,NA,NA,NA,7C4,V,2017,NA,2016,NA
I177D8,M,2016-07-21,NA,NA,NA,NA,7D8,F,2017,NA,2016,NA
I177F0,M,2016-07-21,NA,NA,NA,NA,7F0,KK,2017,NA,2016,NA
I172C3,F,2016-07-22,NA,NA,NA,NA,2C3,KK,2017,NA,2016,NA
I173N4,M,2016-07-22,NA,NA,NA,NA,3N4,HH,2017,NA,2016,NA
I175C0,F,2016-07-22,NA,NA,NA,NA,5C0,F,2017,NA,2016,NA
I1768V,F,2016-07-22,NA,NA,NA,NA,68V,F,2017,NA,2016,NA
I176M7,M,2016-07-22,NA,NA,NA,NA,6M7,KK,2017,NA,2016,NA
I1782L,F,2016-07-22,NA,NA,NA,NA,82L,F,2017,NA,2016,NA
I1790P,F,2016-07-22,NA,NA,NA,NA,90P,F,2017,NA,2016,NA
I174D8,M,2016-07-23,NA,NA,NA,NA,4D8,KK,2017,NA,2016,NA
I176K7,U,2016-07-24,2016-07-27,NA,NA,NA,6K7,R,2017,R,2016,2016
I1742L,F,2016-07-24,2016-08-29,NA,NA,NA,42L,MM,2017,MM,2016,2016
I170F6,F,2016-07-24,NA,NA,NA,NA,0F6,R,2017,NA,2016,NA
I171M0,M,2016-07-24,NA,NA,NA,NA,1M0,R,2017,NA,2016,NA
I171M4,F,2016-07-24,NA,NA,NA,NA,1M4,R,2017,NA,2016,NA
I172D4,M,2016-07-24,NA,NA,NA,NA,2D4,S,2017,NA,2016,NA
I1737P,F,2016-07-24,NA,NA,NA,NA,37P,R,2017,NA,2016,NA
I175K9,F,2016-07-24,NA,NA,NA,NA,5K9,MM,2017,NA,2016,NA
I1793T,M,2016-07-25,2016-07-29,NA,NA,NA,93T,V,2017,V,2016,2016
I170I6,F,2016-07-25,NA,NA,NA,NA,0I6,F,2017,NA,2016,NA
I172E1,M,2016-07-25,NA,NA,NA,NA,2E1,MM,2017,NA,2016,NA
I172G8,M,2016-07-25,NA,NA,NA,NA,2G8,R,2017,NA,2016,NA
I174F5,M,2016-07-25,NA,NA,NA,NA,4F5,R,2017,NA,2016,NA
I1752Z,M,2016-07-25,NA,NA,NA,NA,52Z,V,2017,NA,2016,NA
I173B1,M,2016-07-26,NA,NA,NA,NA,3B1,R,2017,NA,2016,NA
I174L8,M,2016-07-26,NA,NA,NA,NA,4L8,HH,2017,NA,2016,NA
I175B6,F,2016-07-26,NA,NA,NA,NA,5B6,HH,2017,NA,2016,NA
I176D6,M,2016-07-26,NA,NA,NA,NA,6D6,KK,2017,NA,2016,NA
I1770T,F,2016-07-26,NA,NA,NA,NA,70T,S,2017,NA,2016,NA
I177P9,U,2016-07-26,NA,NA,NA,NA,7P9,F,2017,NA,2016,NA
I178E8,M,2016-07-26,NA,NA,NA,NA,8E8,F,2017,NA,2016,NA
I178J6,F,2016-07-26,NA,NA,NA,NA,8J6,F,2017,NA,2016,NA
I1700V,M,2016-07-27,NA,NA,NA,NA,00V,V,2017,NA,2016,NA
I172L5,F,2016-07-27,NA,NA,NA,NA,2L5,F,2017,NA,2016,NA
I1731V,M,2016-07-27,NA,NA,NA,NA,31V,R,2017,NA,2016,NA
I173D4,M,2016-07-27,NA,NA,NA,NA,3D4,S,2017,NA,2016,NA
I173G2,F,2016-07-27,NA,NA,NA,NA,3G2,S,2017,NA,2016,NA
I174C2,M,2016-07-27,NA,NA,NA,NA,4C2,F,2017,NA,2016,NA
I176C5,F,2016-07-27,NA,NA,NA,NA,6C5,MM,2017,NA,2016,NA
I178E2,F,2016-07-27,NA,NA,NA,NA,8E2,HH,2017,NA,2016,NA
I175C4,U,2016-07-28,2016-08-01,NA,NA,NA,5C4,R,2017,R,2016,2016
I174C1,M,2016-07-28,2016-09-28,NA,NA,NA,4C1,F,2017,F,2016,2016
I172M0,M,2016-07-28,NA,NA,NA,NA,2M0,R,2017,NA,2016,NA
I177C8,M,2016-07-28,NA,NA,NA,NA,7C8,R,2017,NA,2016,NA
I178M0,M,2016-07-28,NA,NA,NA,NA,8M0,S,2017,NA,2016,NA
I1791V,M,2016-07-28,NA,NA,NA,NA,91V,S,2017,NA,2016,NA
I172H3,M,2016-07-29,NA,NA,NA,NA,2H3,F,2017,NA,2016,NA
I178A5-K,F,2016-07-29,NA,NA,NA,NA,8A5,R,2017,NA,2016,NA
I179A4,M,2016-07-29,NA,NA,NA,NA,9A4,F,2017,NA,2016,NA
I1736O,F,2016-07-30,2016-09-08,NA,NA,NA,36O,HH,2017,HH,2016,2016
I174A9,F,2016-07-30,NA,NA,NA,NA,4A9,S,2017,NA,2016,NA
I174C5,F,2016-07-30,NA,NA,NA,NA,4C5,V,2017,NA,2016,NA
I177F7,F,2016-07-30,NA,NA,NA,NA,7F7,R,2017,NA,2016,NA
I171H6,F,2016-07-31,NA,NA,NA,NA,1H6,F,2017,NA,2016,NA
I1725P,M,2016-07-31,NA,NA,NA,NA,25P,KK,2017,NA,2016,NA
I172J8,M,2016-07-31,NA,NA,NA,NA,2J8,F,2017,NA,2016,NA
I1747Z,F,2016-07-31,NA,NA,NA,NA,47Z,V,2017,NA,2016,NA
I1790T,M,2016-07-31,NA,NA,NA,NA,90T,V,2017,NA,2016,NA
I179D8,M,2016-07-31,NA,NA,NA,NA,9D8,F,2017,NA,2016,NA
I179K6,M,2016-07-31,NA,NA,NA,NA,9K6,S,2017,NA,2016,NA
I172J7,F,2016-08-01,NA,NA,NA,NA,2J7,KK,2017,NA,2016,NA
I176C2,M,2016-08-01,NA,NA,NA,NA,6C2,KK,2017,NA,2016,NA
I1786Z,F,2016-08-01,NA,NA,NA,NA,86Z,KK,2017,NA,2016,NA
I1734N,M,2016-08-02,NA,NA,NA,NA,34N,F,2017,NA,2016,NA
I1755V,F,2016-08-02,NA,NA,NA,NA,55V,F,2017,NA,2016,NA
I1762R,F,2016-08-02,NA,NA,NA,NA,62R,KK,2017,NA,2016,NA
I177K1,M,2016-08-02,NA,NA,NA,NA,7K1,R,2017,NA,2016,NA
I178P8,F,2016-08-02,NA,NA,NA,NA,8P8,F,2017,NA,2016,NA
I174E0,M,2016-08-03,2016-08-11,NA,NA,NA,4E0,R,2017,R,2016,2016
I173D1,F,2016-08-03,2016-08-12,NA,NA,NA,3D1,S,2017,S,2016,2016
I177J7,F,2016-08-03,NA,NA,NA,NA,7J7,KK,2017,NA,2016,NA
I178I6,F,2016-08-04,NA,NA,NA,NA,8I6,S,2017,NA,2016,NA
I1733V,U,2016-08-05,2016-08-05,NA,NA,NA,33V,R,2017,R,2016,2016
I172A8,F,2016-08-05,NA,NA,NA,NA,2A8,F,2017,NA,2016,NA
I1787F,M,2016-08-05,NA,NA,NA,NA,87F,R,2017,NA,2016,NA
I178H1,M,2016-08-06,NA,NA,NA,NA,8H1,MM,2017,NA,2016,NA
I1740L,F,2016-08-07,NA,NA,NA,NA,40L,F,2017,NA,2016,NA
I170I5,M,2016-08-08,NA,NA,NA,NA,0I5,F,2017,NA,2016,NA
I171A3,F,2016-08-08,NA,NA,NA,NA,1A3,F,2017,NA,2016,NA
I172G2,F,2016-08-08,NA,NA,NA,NA,2G2,V,2017,NA,2016,NA
I173H0,F,2016-08-08,NA,NA,NA,NA,3H0,V,2017,NA,2016,NA
I179G3,F,2016-08-08,NA,NA,NA,NA,9G3,F,2017,NA,2016,NA
I171K3,M,2016-08-09,NA,NA,NA,NA,1K3,MM,2017,NA,2016,NA
I1778I,F,2016-08-09,NA,NA,NA,NA,78I,V,2017,NA,2016,NA
I177M9,F,2016-08-10,2016-09-07,NA,NA,NA,7M9,R,2017,R,2016,2016
I170G5,F,2016-08-10,NA,NA,NA,NA,0G5,F,2017,NA,2016,NA
I179O4,F,2016-08-10,NA,NA,NA,NA,9O4,R,2017,NA,2016,NA
I170K0,F,2016-08-11,NA,NA,NA,NA,0K0,V,2017,NA,2016,NA
I1714Z,M,2016-08-11,NA,NA,NA,NA,14Z,R,2017,NA,2016,NA
I1748V,F,2016-08-11,NA,NA,NA,NA,48V,HH,2017,NA,2016,NA
I174A5,M,2016-08-11,NA,NA,NA,NA,4A5,R,2017,NA,2016,NA
I175C4-2,F,2016-08-12,NA,NA,NA,NA,5C4,R,2017,NA,2016,NA
I171I6,F,2016-08-13,NA,NA,NA,NA,1I6,V,2017,NA,2016,NA
I171I7,F,2016-08-13,NA,NA,NA,NA,1I7,V,2017,NA,2016,NA
I178J0,M,2016-08-13,NA,NA,NA,NA,8J0,MM,2017,NA,2016,NA
I1703Z,F,2016-08-14,NA,NA,NA,NA,03Z,HH,2017,NA,2016,NA
I171G0,M,2016-08-14,NA,NA,NA,NA,1G0,V,2017,NA,2016,NA
I1720S,F,2016-08-14,NA,NA,NA,NA,20S,HH,2017,NA,2016,NA
I172C8,F,2016-08-14,NA,NA,NA,NA,2C8,R,2017,NA,2016,NA
I172K1,M,2016-08-14,NA,NA,NA,NA,2K1,V,2017,NA,2016,NA
I176K1,M,2016-08-14,NA,NA,NA,NA,6K1,MM,2017,NA,2016,NA
I177J8,M,2016-08-15,NA,NA,NA,NA,7J8,F,2017,NA,2016,NA
I170B5,F,2016-08-16,NA,NA,NA,NA,0B5,R,2017,NA,2016,NA
I1752P,M,2016-08-16,NA,NA,NA,NA,52P,F,2017,NA,2016,NA
I175D9,M,2016-08-16,NA,NA,NA,NA,5D9,MM,2017,NA,2016,NA
I175K7,F,2016-08-16,NA,NA,NA,NA,5K7,F,2017,NA,2016,NA
I176J4,M,2016-08-16,NA,NA,NA,NA,6J4,S,2017,NA,2016,NA
I177A8,M,2016-08-16,NA,NA,NA,NA,7A8,R,2017,NA,2016,NA
I171E6,M,2016-08-18,NA,NA,NA,NA,1E6,R,2017,NA,2016,NA
I175O0,M,2016-08-18,NA,NA,NA,NA,5O0,V,2017,NA,2016,NA
I174H0,M,2016-08-19,NA,NA,NA,NA,4H0,R,2017,NA,2016,NA
I1750I,M,2016-08-19,NA,NA,NA,NA,50I,F,2017,NA,2016,NA
I1774K,F,2016-08-19,NA,NA,NA,NA,74K,S,2017,NA,2016,NA
I178F0,F,2016-08-19,NA,NA,NA,NA,8F0,R,2017,NA,2016,NA
I179P3,F,2016-08-19,NA,NA,NA,NA,9P3,V,2017,NA,2016,NA
I174J4,F,2016-08-20,NA,NA,NA,NA,4J4,V,2017,NA,2016,NA
I179M8,F,2016-08-20,NA,NA,NA,NA,9M8,V,2017,NA,2016,NA
I179P5,M,2016-08-20,NA,NA,NA,NA,9P5,HH,2017,NA,2016,NA
I172I3,M,2016-08-21,NA,NA,NA,NA,2I3,V,2017,NA,2016,NA
I179L7,M,2016-08-22,2016-08-22,NA,NA,NA,9L7,R,2017,R,2016,2016
I170K7,F,2016-08-22,NA,NA,NA,NA,0K7,F,2017,NA,2016,NA
I171G1,M,2016-08-22,NA,NA,NA,NA,1G1,V,2017,NA,2016,NA
I172G3,F,2016-08-22,NA,NA,NA,NA,2G3,V,2017,NA,2016,NA
I174A0,F,2016-08-22,NA,NA,NA,NA,4A0,R,2017,NA,2016,NA
I1789K,M,2016-08-22,NA,NA,NA,NA,89K,R,2017,NA,2016,NA
I1793I,F,2016-08-22,NA,NA,NA,NA,93I,R,2017,NA,2016,NA
I1755R,F,2016-08-23,NA,NA,NA,NA,55R,HH,2017,NA,2016,NA
I1704N,M,2016-08-24,2016-08-30,NA,NA,NA,04N,F,2017,F,2016,2016
I170A9,F,2016-08-24,NA,NA,NA,NA,0A9,F,2017,NA,2016,NA
I170C8,M,2016-08-24,NA,NA,NA,NA,0C8,MM,2017,NA,2016,NA
I171N9,F,2016-08-24,NA,NA,NA,NA,1N9,F,2017,NA,2016,NA
I174M2,F,2016-08-24,NA,NA,NA,NA,4M2,R,2017,NA,2016,NA
I1749V-2,M,2016-08-25,2016-08-30,NA,NA,NA,49V,KK,2017,KK,2016,2016
I171C5,F,2016-08-25,NA,NA,NA,NA,1C5,KK,2017,NA,2016,NA
I173M5,M,2016-08-25,NA,NA,NA,NA,3M5,R,2017,NA,2016,NA
I1743F,M,2016-08-25,NA,NA,NA,NA,43F,F,2017,NA,2016,NA
I1749V-1,M,2016-08-25,NA,NA,NA,NA,49V,KK,2017,NA,2016,NA
I1754N,F,2016-08-25,NA,NA,NA,NA,54N,R,2017,NA,2016,NA
I176L1,F,2016-08-25,NA,NA,NA,NA,6L1,KK,2017,NA,2016,NA
I179H9,M,2016-08-25,NA,NA,NA,NA,9H9,KK,2017,NA,2016,NA
I1780S-K,M,2016-08-26,2016-09-06,NA,NA,NA,80S,HH,2017,HH,2016,2016
I171P0,F,2016-08-26,NA,NA,NA,NA,1P0,KK,2017,NA,2016,NA
I172A7,M,2016-08-26,NA,NA,NA,NA,2A7,F,2017,NA,2016,NA
I1756R,F,2016-08-26,NA,NA,NA,NA,56R,HH,2017,NA,2016,NA
I175H4,F,2016-08-26,NA,NA,NA,NA,5H4,KK,2017,NA,2016,NA
I176B0,M,2016-08-26,NA,NA,NA,NA,6B0,R,2017,NA,2016,NA
I170M4,M,2016-08-27,NA,NA,NA,NA,0M4,V,2017,NA,2016,NA
I1744V,M,2016-08-27,NA,NA,NA,NA,44V,KK,2017,NA,2016,NA
I174H3,F,2016-08-27,NA,NA,NA,NA,4H3,S,2017,NA,2016,NA
I175C6,F,2016-08-27,NA,NA,NA,NA,5C6,V,2017,NA,2016,NA
I1760R,M,2016-08-27,NA,NA,NA,NA,60R,KK,2017,NA,2016,NA
I170J5,F,2016-08-28,NA,NA,NA,NA,0J5,KK,2017,NA,2016,NA
I171C7,F,2016-08-28,NA,NA,NA,NA,1C7,KK,2017,NA,2016,NA
I173I4,F,2016-08-28,NA,NA,NA,NA,3I4,S,2017,NA,2016,NA
I175L7,M,2016-08-28,NA,NA,NA,NA,5L7,V,2017,NA,2016,NA
I177B7,M,2016-08-28,NA,NA,NA,NA,7B7,F,2017,NA,2016,NA
I1783Z,M,2016-08-28,NA,NA,NA,NA,83Z,KK,2017,NA,2016,NA
I177A6,F,2016-08-29,NA,NA,NA,NA,7A6,R,2017,NA,2016,NA
I1785V,F,2016-08-29,NA,NA,NA,NA,85V,R,2017,NA,2016,NA
I173J3,M,2016-08-31,NA,NA,NA,NA,3J3,R,2017,NA,2016,NA
I174K4,M,2016-08-31,NA,NA,NA,NA,4K4,R,2017,NA,2016,NA
I174O4,F,2016-08-31,NA,NA,NA,NA,4O4,V,2017,NA,2016,NA
I177E0,F,2016-08-31,NA,NA,NA,NA,7E0,HH,2017,NA,2016,NA
I179C1,M,2016-08-31,NA,NA,NA,NA,9C1,V,2017,NA,2016,NA
I178A3,M,2016-09-01,NA,NA,NA,NA,8A3,R,2017,NA,2016,NA
I179N3,M,2016-09-01,NA,NA,NA,NA,9N3,F,2017,NA,2016,NA
I172A5,F,2016-09-02,NA,NA,NA,NA,2A5,F,2017,NA,2016,NA
I172E4,M,2016-09-02,NA,NA,NA,NA,2E4,V,2017,NA,2016,NA
I174B2,F,2016-09-03,NA,NA,NA,NA,4B2,R,2017,NA,2016,NA
I173F8,M,2016-09-05,NA,NA,NA,NA,3F8,R,2017,NA,2016,NA
I1777S,M,2016-09-06,NA,NA,NA,NA,77S,HH,2017,NA,2016,NA
I177A9,F,2016-09-06,NA,NA,NA,NA,7A9,S,2017,NA,2016,NA
I178J8,F,2016-09-06,NA,NA,NA,NA,8J8,F,2017,NA,2016,NA
I170C6,F,2016-09-07,NA,NA,NA,NA,0C6,MM,2017,NA,2016,NA
I173D9,M,2016-09-07,NA,NA,NA,NA,3D9,V,2017,NA,2016,NA
I174I3,F,2016-09-07,NA,NA,NA,NA,4I3,S,2017,NA,2016,NA
I1782V,M,2016-09-07,NA,NA,NA,NA,82V,S,2017,NA,2016,NA
I1793Z,F,2016-09-07,NA,NA,NA,NA,93Z,MM,2017,NA,2016,NA
I1722H,F,2016-09-08,NA,NA,NA,NA,22H,HH,2017,NA,2016,NA
I178N1,F,2016-09-08,NA,NA,NA,NA,8N1,F,2017,NA,2016,NA
I171B0,F,2016-09-09,NA,NA,NA,NA,1B0,V,2017,NA,2016,NA
I171I5,M,2016-09-10,NA,NA,NA,NA,1I5,V,2017,NA,2016,NA
I173H6,M,2016-09-10,NA,NA,NA,NA,3H6,R,2017,NA,2016,NA
I171E0,F,2016-09-12,NA,NA,NA,NA,1E0,MM,2017,NA,2016,NA
I176K9,M,2016-09-12,NA,NA,NA,NA,6K9,R,2017,NA,2016,NA
I170B4,F,2016-09-13,NA,NA,NA,NA,0B4,S,2017,NA,2016,NA
I172L8,F,2016-09-13,NA,NA,NA,NA,2L8,F,2017,NA,2016,NA
I173E2,F,2016-09-13,NA,NA,NA,NA,3E2,F,2017,NA,2016,NA
I1713H,F,2016-09-15,NA,NA,NA,NA,13H,V,2017,NA,2016,NA
I175E8,F,2016-09-15,NA,NA,NA,NA,5E8,V,2017,NA,2016,NA
I174C9,F,2016-09-17,NA,NA,NA,NA,4C9,V,2017,NA,2016,NA
I1779Z,M,2016-09-19,NA,NA,NA,NA,79Z,F,2017,NA,2016,NA
I1761J,M,2016-09-20,NA,NA,NA,NA,61J,F,2017,NA,2016,NA
I179I3,F,2016-09-23,NA,NA,NA,NA,9I3,S,2017,NA,2016,NA
I1751Z,M,2016-09-24,NA,NA,NA,NA,51Z,V,2017,NA,2016,NA
I175M5,F,2016-09-27,NA,NA,NA,NA,5M5,KK,2017,NA,2016,NA
I173E7,M,2016-09-28,NA,NA,NA,NA,3E7,F,2017,NA,2016,NA
I176B4,M,2016-09-28,NA,NA,NA,NA,6B4,HH,2017,NA,2016,NA
I1743J,F,2016-09-29,NA,NA,NA,NA,43J,F,2017,NA,2016,NA
I1648N,M,2015-01-05,NA,NA,NA,NA,48N,R,2016,NA,2015,NA
I165G9,F,2015-05-30,NA,NA,NA,NA,5G9,F,2016,NA,2015,NA
I161C0,M,2015-06-20,2015-07-22,NA,NA,NA,1C0,F,2016,F,2015,2015
I169I5,F,2015-06-22,NA,NA,NA,NA,9I5,HH,2016,NA,2015,NA
I162J2,M,2015-06-24,NA,NA,NA,NA,2J2,F,2016,NA,2015,NA
