AnimalID,DOB,Sex,BirthGroup,BehaviorMom,Last Event,LastGroup,EventDate,Status,DamGen,SireGen,BirthSeason,DOD,DateTransfer
02J,4/22/1998,m,F,78A,L,L,9/1/2000,Remove,78A,X94,1998,,2/6/2001
02K,2/11/1999,f,V,X67,,V,,Dead,X67,L07,1999,7/2/2006,
02L,1/27/1999,m,E,V91,,E,,Remove,V91,E05,1999,,4/11/2001
02N,12/17/1999,m,F,Z15,,F,,Remove,Z15,A87,2000,,2/1/2002
02O,3/2/2000,m,R,59F,,R,,Remove,59F,F00,2000,,2/6/2002
02P,1/21/2001,m,F,J92,,F,,Remove,J92,V79,2001,,1/22/2003
02R,11/14/2001,m,V,15E,R,R,3/12/2012,Dead,15E,T53,2002,2/14/2014,
02S,1/24/2002,m,S,O35,,S,,Remove,O35,V83,2002,,2/4/2004
02T,1/1/2003,f,R,N40,,R,,Dead,N40,Z71,2003,8/17/2010,
02V,12/17/2003,f,F,64A,,F,,Remove,64A,65F,2004,,2/7/2006
02Z,12/7/2003,m,KK,R75,R,R,5/13/2009,Remove,R75,S76,2004,,2/3/2010
030,1/1/1955,f,U,?,,U,,Dead,,,1955,10/24/1957,
031,1/1/1955,f,U,?,nJ,nJ,1/1/1965,Dead,,,1955,4/1/1973,
032,1/1/1955,m,U,?,,U,,Dead,,,1955,6/21/1956,
033,1/1/1953,f,U,?,,U,,Dead,,,1952,4/12/1957,
034,1/1/1951,f,U,?,,U,,Dead,,,1944,6/21/1956,
035,1/1/1955,f,U,?,nC,nC,1/1/1960,Dead,,,1955,11/20/1964,
036,1/1/1955,m,U,?,,U,,Dead,,,1955,3/19/1958,
037,1/1/1955,f,U,?,nA,nA,1/1/1960,Remove,,,1955,,11/5/1971
038,1/1/1954,f,U,?,nC,nC,1/1/1960,Remove,,,1954,,1/14/1969
039,1/1/1955,m,U,?,A,A,8/4/1964,Dead,,,1955,11/25/1968,
03A,2/5/1992,m,F,B56,,F,,Remove,,,1992,,2/8/1995
03B,1/3/1993,f,F,F74,nKK,KK,6/7/2000,Dead,F74,,1993,9/11/2012,
03C,1/14/1994,m,S,D82,,S,,Remove,D82,J19,1994,,1/30/1996
03D,11/21/1994,m,S,H64,R,R,1/18/2005,Remove,H64,D71,1995,,2/5/2010
03E,1/18/1995,f,F,F74,,F,,Dead,F74,T90,1995,11/22/1996,
03F,2/12/1996,m,F,X90,,F,,Remove,X90,K01,1996,,1/30/1998
03G,4/4/1997,m,F,R71,R,R,5/11/2001,Dead,R71,R70,1997,11/4/2003,
03H,12/5/1996,f,R,J69,,R,,Dead,J69,J19,1997,7/6/2010,
03I,1/9/1998,f,F,R74,nII,nII,8/24/1999,Remove,R74,T57,1998,,2/27/2002
03J,12/22/1997,f,F,O69,MM,MM,6/1/2014,Dead,O69,V79,1998,5/30/2017,
03K,11/24/1998,m,F,19A,nKK,KK,6/7/2000,Remove,19A,27B,1999,,1/17/2001
03L,12/20/1998,f,F,18A,,F,,Remove,18A,Z01,1999,,1/30/2002
03N,11/26/1999,m,F,89C,S,S,7/9/2008,Dead,89C,R70,2000,12/11/2017,
03O,2/25/2000,m,R,B60,,R,,Remove,,,2000,,1/17/2001
03P,12/14/2000,f,F,Z08,,F,,Remove,Z08,85A,2001,,1/28/2003
03R,11/8/2001,m,V,T98,,V,,Remove,T98,13E,2002,,2/6/2004
03S,1/31/2002,f,S,D82,,S,,Dead,D82,T57,2002,3/19/2010,
03T,12/3/2002,m,R,O33,KK,KK,8/9/2008,Remove,O33,23E,2003,,1/26/2010
03V,12/4/2003,m,F,71J,,F,,Remove,71J,07D,2004,,3/8/2005
03Z,1/13/2004,f,HH,81B,,HH,,Remove,81B,79F,2004,,10/20/2016
040,1/1/1955,f,U,?,nA,nA,1/1/1960,Dead,,,1955,9/12/1962,
041,1/1/1956,f,U,?,nA,nA,1/1/1960,Remove,,,1956,,3/20/1967
042,1/1/1956,m,U,?,A,A,9/12/1966,Dead,,,1956,12/14/1966,
043,1/1/1955,m,U,?,X,X,8/4/1960,Remove,,,1955,,8/15/1961
044,1/1/1955,f,U,?,,U,,Dead,,,1955,6/23/1956,
045,1/1/1956,m,U,?,I,I,1/1/1963,Dead,,,1956,3/25/1963,
046,1/1/1953,f,U,?,nHH,HH,1/1/1961,Dead,,,1951,12/1/1961,
047,1/1/1951,m,U,?,,U,,Dead,,,1944,6/28/1956,
048,1/1/1951,f,U,?,,U,,Dead,,,1944,1/1/1959,
049,1/1/1954,f,U,?,nHH,HH,1/1/1961,Dead,,,1953,12/16/1968,
04A,3/10/1992,f,F,O56,nII,nII,8/24/1999,Remove,O56,742,1992,,2/27/2002
04B,2/10/1993,m,F,C26,,F,,Dead,,,1993,7/11/1994,
04C,12/20/1993,f,R,S55,,R,,Remove,S55,L43,1994,,1/16/1996
04D,1/9/1995,f,S,I56,,S,,Remove,I56,A92,1995,,1/17/1997
04E,1/3/1995,f,F,O87,,F,,Remove,O87,J21,1995,,2/22/2002
04F,11/6/1995,m,F,G43,,F,,Remove,G43,E94,1996,,2/6/1998
04G,4/7/1997,f,F,V04,,F,,Remove,18A,S76,1997,,2/3/1999
04H,12/15/1996,f,R,V60,,R,,Remove,V60,T88,1997,,2/3/1999
04I,12/9/1997,m,F,55A,V,V,5/17/2019,Dead,44B,F26,1998,9/20/2019,
04J,2/13/1998,m,R,V60,,R,,Remove,V60,T30,1998,,2/22/2001
04K,3/4/1999,m,F,99A,,F,,Remove,99A,D71,1999,,4/19/2001
04L,1/12/1999,m,E,44B,,E,,Remove,44B,F26,1999,,3/15/2002
04N,3/25/2000,f,F,17C,,F,,IN CS,17C,Z06,2000,,
04O,11/14/1999,f,F,Z08,,F,,Dead,Z08,51A,2000,2/6/2009,
04P,1/2/2001,f,F,S16,F,F,5/20/2002,Remove,S16,56C,2001,,2/27/2003
04R,12/3/2001,m,F,42B,,F,,Remove,42B,10D,2002,,1/21/2004
04S,11/27/2001,m,R,68C,,R,,Remove,68C,Z01,2002,,1/22/2004
04T,11/4/2002,m,R,96G,V,V,3/10/2016,IN CS,96G,80B,2003,,
04V,10/18/2003,m,F,46F,,F,,Remove,46F,07D,2004,,3/8/2005
04Z,2/10/2004,m,S,O35,F,F,4/4/2019,IN CS,O35,50B,2004,,
050,1/1/1955,f,U,?,,U,,Dead,,,1955,8/19/1959,
051,1/1/1955,f,U,?,nC,nC,1/1/1960,Dead,,,1955,1/14/1962,
052,1/1/1954,m,U,?,,U,,Dead,,,1954,6/28/1956,
053,1/1/1955,m,U,?,E,E,9/14/1966,Remove,,,1955,,10/15/1971
054,1/1/1951,f,U,?,,U,,Dead,,,1944,1/1/1959,
055,1/1/1954,f,U,?,nC,nC,1/1/1960,Remove,,,1954,,3/20/1969
056,1/1/1955,m,U,?,X,X,11/1/1981,Dead,,,1955,3/4/1982,
057,1/1/1955,f,U,?,nHH,HH,1/1/1961,Remove,,,1955,,6/25/1966
058,1/1/1954,f,U,?,C,C,1/1/1961,Remove,,,1953,,12/4/1961
059,1/1/1955,f,U,?,nCC,CC,1/1/1960,Remove,,,1955,,12/8/1961
05A,3/7/1992,f,F,725,nII,nII,8/24/1999,Remove,,A66,1992,,2/21/2002
05B,1/11/1993,f,A,G42,,A,,Remove,,,1993,,2/9/1995
05C,12/6/1993,m,S,678,,S,,Remove,678,717,1994,,2/16/1996
05D,2/10/1995,f,S,L97,nDD,nDD,5/1/1997,Remove,L97,E05,1995,,2/21/2002
05E,3/1/1995,m,F,931,,F,,Remove,931,D71,1995,,2/28/1997
05F,1/22/1996,f,F,R75,,F,,Remove,R75,L64,1996,,2/9/1998
05G,12/7/1996,m,F,O70,,F,,Remove,O70,V79,1997,,2/5/1999
05H,1/8/1997,m,C,O30,,C,,Dead,O30,X79,1997,7/13/1998,
05I,2/9/1998,m,F,G43,F,F,3/15/2010,Dead,G43,J21,1998,5/27/2011,
05J,3/11/1998,f,R,B60,,R,,Dead,B60,K85,1998,5/6/1999,
05K,12/10/1998,m,F,N13,F,F,12/1/2000,Remove,N13,77A,1999,,1/23/2001
05L,2/25/1999,m,S,Z99,,S,,Dead,Z99,,1999,4/28/2000,
05N,12/15/1999,f,F,57A,,F,,Remove,57A,90A,2000,,1/23/2002
05O,1/7/2000,m,F,O55,nKK,KK,6/7/2000,Dead,O55,32B,2000,12/31/2001,
05P,1/2/2001,f,F,D69,,F,,Remove,D69,V79,2001,,2/27/2003
05R,10/23/2001,f,CC,50D,,CC,,Remove,50D,61D,2002,,3/3/2004
05S,10/29/2001,f,R,30D,,R,,Remove,30D,80B,2002,,2/12/2004
05T,12/19/2002,f,R,02A,,R,,Remove,02A,S47,2003,,2/14/2006
05V,11/14/2003,f,F,Z11,,F,,Dead,Z11,X81,2004,4/27/2006,
05Z,12/6/2003,m,KK,21H,S,S,8/20/2012,Dead,21H,30G,2004,1/15/2013,
060,1/1/1951,m,U,?,nA,nA,1/1/1960,Dead,,,1944,10/27/1960,
061,1/1/1954,f,U,?,nF,F,1/1/1960,Dead,,,1953,3/3/1961,
062,1/1/1954,f,U,?,nL,nL,11/10/1969,Dead,,,1953,9/9/1976,
063,1/1/1954,m,U,?,C,C,11/1/1960,Dead,,,1953,10/24/1966,
064,1/1/1951,f,U,?,nA,nA,1/1/1960,Dead,,,1944,11/11/1968,
065,1/1/1953,f,U,?,nF,F,1/1/1960,Dead,,,1949,8/25/1973,
066,1/1/1951,m,U,?,C,C,9/1/1963,Dead,,,1944,10/1/1963,
067,1/1/1956,f,U,?,,U,,Dead,,,1956,7/10/1956,
068,1/1/1954,f,U,?,,U,,Dead,,,1953,7/10/1956,
069,1/1/1955,f,U,?,nA,nA,1/1/1960,Dead,,,1955,3/28/1962,
06A,1/25/1992,f,S,N16,,S,,Dead,N16,I85,1992,7/1/2011,
06B,1/5/1993,m,A,F20,,A,,Remove,,,1993,,2/8/1995
06C,2/4/1994,m,S,869,,S,,Remove,869,A92,1994,,1/23/1996
06D,2/2/1995,f,S,L37,BB,BB,11/7/1996,Remove,L37,O34,1995,,1/29/1997
06E,1/3/1995,f,F,V58,,F,,Remove,V58,L01,1995,,1/24/1997
06F,3/19/1996,m,F,985,,F,,Remove,985,D11,1996,,2/10/1998
06G,1/15/1997,m,F,G43,,F,,Dead,G43,,1997,5/27/1999,
06H,12/3/1996,m,R,D83,BB,BB,6/5/2002,Remove,D83,J19,1997,,3/9/2004
06I,1/1/1998,m,F,O70,,F,,Remove,O70,R70,1998,,1/23/2001
06J,1/22/1998,f,R,X28,,R,,Remove,X28,S60,1998,,3/4/2009
06K,4/23/1999,m,F,R65,,F,,Remove,R65,I06,1999,,2/14/2001
06L,12/29/1998,f,R,V60,,R,,Remove,V60,X58,1999,,4/5/2001
06N,11/26/1999,m,F,I50,HH,HH,12/1/2000,Remove,I50,77A,2000,,1/30/2002
06O,2/5/2000,m,F,19A,nPP,nPP,3/28/2019,IN CS,19A,17B,2000,,
06P,12/8/2000,m,F,J28,,F,,Remove,J28,88C,2001,,1/22/2003
06R,11/3/2001,m,BB,69F,,BB,,Remove,69F,T82,2002,,2/24/2004
06S,12/6/2001,f,BB,K79,,BB,,Remove,K79,57D,2002,,1/29/2004
06T,10/25/2002,f,R,39F,,R,,Remove,39F,Z71,2003,,2/14/2006
06V,2/18/2004,m,F,59A,,F,,Remove,59A,Z10,2004,,3/8/2005
06Z,11/30/2003,f,KK,75J,,KK,,Dead,75J,43H,2004,7/12/2005,
070,1/1/1951,f,U,?,nCC,CC,1/1/1960,Dead,,,1944,3/12/1963,
071,1/1/1956,f,U,?,,U,,Dead,,,1956,7/10/1956,
072,1/1/1953,m,U,?,X,X,6/1/1962,Remove,,,1952,,7/2/1962
073,1/1/1951,f,U,?,nF,F,1/1/1960,Dead,,,1944,12/25/1961,
074,1/1/1956,f,U,?,nC,nC,1/1/1960,Remove,,,1956,,12/16/1968
075,1/1/1955,f,U,?,nC,nC,1/1/1960,Remove,,,1955,,3/26/1969
076,1/1/1951,f,U,?,nF,F,1/1/1960,Dead,,,1944,8/4/1972,
077,1/1/1955,m,U,?,nA,nA,1/1/1960,Dead,,,1955,5/12/1961,
078,1/1/1951,f,U,?,nA,nA,1/1/1960,Dead,,,1944,1/28/1962,
079,1/1/1954,m,U,?,A,A,10/1/1961,Dead,,,1953,11/13/1967,
07A,3/30/1992,f,F,J89,nKK,KK,6/7/2000,Dead,J89,F32,1992,1/15/2013,
07B,12/5/1992,f,A,C40,,A,,Remove,,J02,1993,,2/1/1995
07C,3/7/1994,f,S,O35,,S,,Remove,O35,L34,1994,,1/10/1996
07D,1/4/1995,m,R,L19,V,V,2/8/2019,Dead,L19,K85,1995,7/15/2019,
07E,1/4/1995,f,F,X70,,F,,Remove,X70,L22,1995,,1/17/1997
07F,1/26/1996,f,F,N13,F,F,9/1/2001,Remove,N13,G37,1996,,1/17/2002
07G,1/22/1997,m,F,E65,,F,,Remove,E65,J26,1997,,1/28/1999
07H,12/24/1996,f,R,K28,,R,,Remove,K28,K85,1997,,1/28/1999
07I,2/20/1998,m,V,T03,R,R,9/4/2003,Dead,T03,L22,1998,12/1/2008,
07J,12/10/1997,m,R,31A,,R,,Remove,31A,L83,1998,,1/24/2001
07K,12/26/1998,f,F,73B,,F,,Remove,73B,32B,1999,,2/14/2001
07L,1/6/1999,f,R,95A,,R,,Dead,95A,K14,1999,5/13/2013,
07N,1/22/2000,f,F,61A,,F,,Remove,61A,51A,2000,,1/23/2002
07O,1/1/2000,m,J,J66,,J,,Remove,J66,T53,2000,,1/17/2002
07P,1/9/2001,m,F,Z14,,F,,Remove,Z14,20B,2001,,1/22/2003
07R,12/15/2001,m,KK,65A,,KK,,Remove,65A,43A,2002,,1/21/2004
07S,11/3/2001,f,KK,03B,,KK,,Remove,03B,70C,2002,,1/21/2004
07T,1/6/2003,m,R,77D,HH,HH,5/10/2011,Dead,77D,O15,2003,7/7/2011,
07V,11/6/2003,m,F,56A,,F,,Remove,56A,10D,2004,,3/8/2005
07Z,12/14/2003,m,KK,V05,,KK,,Remove,V05,,2004,,3/9/2005
080,1/1/1954,f,U,?,nHH,HH,1/1/1961,Remove,,,1953,,6/25/1966
081,1/1/1951,f,U,?,nA,nA,1/1/1960,Remove,,,1944,,11/5/1971
082,1/1/1951,m,U,?,,U,,Dead,,,1944,6/1/1956,
083,1/1/1951,f,U,?,,U,,Dead,,,1944,11/29/1957,
084,1/1/1951,f,U,?,nHH,HH,1/1/1961,Remove,,,1944,,8/21/1972
085,1/1/1955,f,U,?,nA,nA,1/1/1960,Dead,,,1955,7/12/1963,
086,1/1/1955,m,U,?,nC,nC,1/1/1960,Dead,,,1955,10/14/1960,
087,1/1/1953,f,U,?,,U,,Dead,,,1950,10/7/1957,
088,1/1/1955,f,U,?,nC,nC,1/1/1960,Remove,,,1955,,12/16/1968
089,1/1/1951,m,U,?,,U,,Dead,,,1944,4/6/1959,
08A,1/27/1992,m,R,C12,V,V,10/11/2001,Dead,C12,E54,1992,5/19/2003,
08B,12/15/1992,f,Y,987,,Y,,Remove,,,1993,,1/11/1995
08C,2/17/1994,f,R,V60,,R,,Remove,V60,I37,1994,,1/17/1996
08D,12/28/1994,f,R,O96,,R,,Remove,O96,K85,1995,,1/24/1997
08E,5/13/1995,m,F,R65,,F,,Remove,R65,I85,1995,,1/17/1997
08F,12/20/1995,f,F,J28,,F,,Remove,J28,O81,1996,,1/23/2002
08G,1/5/1997,f,F,56A,,F,,Remove,56A,B07,1997,,1/28/1999
08H,3/19/1997,f,R,S96,,R,,Remove,,761,1997,,2/3/1999
08I,12/22/1997,f,F,01B,,F,,Dead,01B,O19,1998,1/21/2003,
08J,11/5/1997,m,BB,D97,,BB,,Remove,D97,E54,1998,,7/6/1999
08K,12/16/1998,m,F,57A,,F,,Remove,57A,51A,1999,,1/23/2001
08L,11/9/1998,f,BB,L29,,BB,,Remove,L29,E54,1999,,4/26/2001
08N,11/20/1999,m,F,V36,,F,,Dead,V36,X81,2000,9/14/2006,
08O,12/10/1999,m,R,V24,HH,HH,10/11/2004,Dead,V24,T82,2000,6/11/2009,
08P,12/7/2000,m,F,R78,KK,KK,1/21/2002,Remove,R78,02C,2001,,1/22/2003
08R,12/21/2001,f,BB,31D,,BB,,Remove,31D,14D,2002,,2/6/2004
08S,12/24/2001,m,F,24B,,F,,Remove,24B,K32,2002,,3/9/2004
08T,1/19/2003,f,R,X28,,R,,Remove,X28,20B,2003,,2/7/2006
08V,3/1/2004,m,F,73B,,F,,Remove,73B,65F,2004,,3/8/2005
08Z,10/1/2003,f,R,K84,,R,,Dead,K84,Z71,2004,3/27/2010,
090,1/1/1951,f,U,?,nA,nA,1/1/1960,Remove,,,1944,,9/3/1970
091,1/1/1951,f,U,?,nI,nI,1/1/1961,Dead,,,1944,2/24/1971,
092,1/1/1951,f,U,?,nJ,nJ,1/1/1965,Dead,,,1944,11/15/1968,
093,1/1/1951,f,U,?,nA,nA,1/1/1960,Remove,,,1944,,5/30/1960
094,1/1/1951,f,U,?,nC,nC,1/1/1960,Remove,,,1944,,1/13/1969
095,1/1/1955,m,U,?,E,E,10/12/1961,Dead,,,1955,6/30/1970,
096,1/1/1955,m,U,?,nI,nI,1/1/1961,Dead,,,1955,2/23/1971,
097,1/1/1955,f,U,?,nHH,HH,1/1/1961,Dead,,,1955,10/16/1967,
098,1/1/1956,m,U,?,C,C,9/30/1967,Remove,,,1956,,12/2/1968
099,1/1/1956,f,U,?,nC,nC,1/1/1960,Remove,,,1956,,12/15/1961
09A,1/4/1992,m,F,N05,,F,,Remove,,,1992,,1/20/1995
09B,1/13/1993,f,Y,O45,,Y,,Remove,,,1993,,1/11/1995
09C,11/21/1993,m,R,J12,,R,,Dead,J12,E05,1994,1/17/1996,
09D,12/28/1994,m,S,S11,nCC,CC,1/1/1996,Remove,S11,O28,1995,,1/15/1997
09E,3/30/1995,f,F,985,,F,,Dead,985,D52,1995,5/1/1997,
09F,2/4/1996,f,F,J89,nEE,nEE,6/1/1997,Remove,J89,O08,1996,,1/23/2002
09G,2/26/1997,f,F,Z11,,F,,Remove,Z11,I47,1997,,3/5/1999
09H,1/19/1997,f,BB,K79,,BB,,Remove,K79,T30,1997,,1/27/1999
09I,11/29/1997,f,F,O54,,F,,Remove,O54,R70,1998,,1/17/2002
09J,1/8/1998,m,F,V80,,F,,Dead,V80,R70,1998,1/1/1999,
09K,12/17/1998,m,F,86C,X,X,5/16/2007,Remove,86C,S18,1999,,10/8/2007
09L,12/22/1998,m,CC,82B,KK,KK,5/28/2003,Dead,82B,A48#,1999,5/16/2007,
09N,12/23/1999,m,F,Z14,,F,,Remove,Z14,L64,2000,,1/23/2002
09O,2/16/2000,f,R,39F,,R,,Remove,39F,F00,2000,,2/6/2002
09P,2/11/2001,m,F,J95,,F,,Remove,J95,L64,2001,,2/6/2003
09R,12/5/2001,m,CC,33H,,CC,,Remove,33H,66D,2002,,1/27/2004
09S,11/26/2001,m,F,56A,,F,,Remove,56A,Z10,2002,,1/30/2004
09T,11/22/2002,f,R,87F,,R,,Remove,87F,J88,2003,,2/28/2006
09V,1/13/2004,m,F,42B,,F,,Remove,42B,07D,2004,,3/8/2005
09Z,11/7/2003,f,R,46K,S,S,6/14/2016,IN CS,46K,G07,2004,,
0A0,10/16/2004,f,R,30D,,R,,Remove,30D,23H,2005,,3/7/2006
0A1,11/19/2004,f,R,15C,,R,,Remove,15C,83L,2005,,1/30/2007
0A2,12/18/2004,f,R,89K,,R,,Dead,89K,80B,2005,10/30/2015,
0A3,10/18/2004,m,F,48B,,F,,Remove,48B,86D,2005,,1/30/2007
0A4,10/23/2004,f,F,62H,,F,,IN CS,62H,07D,2005,,
0A5,10/22/2004,f,F,54D,,F,,Remove,54D,54F,2005,,1/31/2007
0A6,12/10/2004,m,F,14I,,F,,Remove,14I,Z10,2005,,3/7/2006
0A7,12/10/2004,m,F,J92,,F,,Remove,J92,86D,2005,,3/9/2006
0A8,10/21/2004,f,F,71J,,F,,Remove,71J,10D,2005,,3/7/2006
0A9,12/29/2004,f,F,29B,,F,,IN CS,29B,08N,2005,,
0B0,1/31/2005,f,F,Z08,,F,,Remove,Z08,08N,2005,,3/17/2006
0B1,11/22/2004,m,KK,02G,R,R,5/15/2009,Dead,93O,X58,2005,12/15/2009,
0B2,10/3/2004,f,S,Z99,,S,,Dead,Z99,77I,2005,3/3/2006,
0B3,12/4/2004,m,S,X60,,S,,Dead,X60,77I,2005,1/29/2007,
0B4,12/5/2004,f,R,67C,S,S,6/14/2016,IN CS,67C,13I,2005,,
0B5,10/22/2004,f,R,93I,,R,,IN CS,93I,69I,2005,,
0B6,11/29/2004,f,KK,V05,,KK,,Dead,V05,64K,2005,4/7/2016,
0B7,5/9/2005,f,S,T84,,S,,Dead,T84,12O,2005,2/6/2007,
0B8,11/28/2004,m,R,28A,F,F,8/11/2009,Dead,28A,48G,2005,5/24/2016,
0B9,11/2/2004,f,HH,19J,,HH,,Remove,19J,78B,2005,,12/8/2016
