groom.giver,groom.reciever,duration,observation.session
JUVFEMALE,83Z,12,08.22.17.83Z.JN.1
24V,3R0,14,08.07.17.3R0.JN.4
JUVFEMALE,51J,14,08.30.17.51J.JN.4
0J5,25P,15,05.09.17.25P.JN.1
4D8,5H4,15,08.09.17.5H4.JN.1
JUVFEMALE,8L3,15,08.10.17.8L3.JN.4
JUVMALE,7O3,16,08.15.17.7O3.JN.4
JUVMALE,2R0,17,07.06.17.2R0.JN.1
44V,4P6,19,05.25.17.4P6.JN.4
JUVFEMALE,0J5,21,07.20.17.0J5.JN.4
JUVMALE,3O7,22,08.03.17.3O7.JN.4
JUVMALE,1M8,22,08.10.17.1M8.JN.4
27J,4F1,23,06.06.17.4F1.JN.4
44V,4R7,23,05.12.17.4R7.JN.1
25P,3R9,24,06.01.17.3R9.JN.4
76J,24V,24,05.08.17.24V.JN.4
83Z,1O9,25,08.30.17.1O9.JN.1
JUVMALE,1S5,25,08.30.17.1S5.JN.1
9I8,4Q4,25,06.14.17.4Q4.JN.4
JUVFEMALE,97Z,26,05.22.17.97Z.JN.4
9I8,4Q4,30,05.22.17.4Q4.JN.1
8C9,4R4,30,05.08.17.4R4.JN.4
2C3,1S8,30,05.22.17.1S8.JN.1
86Z,0K8,31,07.18.17.0K8.JN.1
JUVMALE,1M8,31,08.10.17.1M8.JN.4
JUVMALE,9H9,32,06.26.17.9H9.JN.4
8L3,7I8,33,07.17.17.7I8.JN.4
6D9,1L1,33,08.09.17.1L1.JN.4
60R,0R2,34,07.06.17.0R2.JN.4
JUVMALE,97Z,34,05.08.17.97Z.JN.1
9L9,49V,35,08.08.17.49V.JN.4
JUVFEMALE,6D4,35,07.20.17.6D4.JN.4
1E2,1P4,36,05.31.17.1P4.JN.1
JUVMALE,4R3,37,05.11.17.4R3.JN.1
73Z,6D4,39,06.05.17.6D4.JN.4
JUVFEMALE,94H,40,08.28.17.94H.JN.4
JUVFEMALE,8I9,40,07.31.17.8I9.JN.1
24V,76J,44,07.20.17.76J.JN.1
6D4,9I8,44,08.09.17.9I8.JN.4
JUVFEMALE,3F5,44,06.26.17.3F5.JN.1
7J7,8L3,44,07.17.17.8L3.JN.4
JUVFEMALE,2C4,44,05.12.17.2C4.JN.4
JUVMALE,1P5,45,05.31.17.1P5.JN.4
JUVMALE,9H9,45,06.26.17.9H9.JN.4
00O,1C5,46,06.12.17.1C5.JN.4
JUVMALE,62R,47,08.03.17.62R.JN.4
JUVFEMALE,6D4,47,06.26.17.6D4.JN.1
UNKJUV,44V,48,07.18.17.44V.JN.4
UNKJUV,11Z,48,07.20.17.11Z.JN.4
37V,7Q3,49,05.30.17.7Q3.JN.4
JUVFEMALE,93O,51,08.10.17.93O.JN.4
49V,97Z,52,06.23.17.97Z.JN.4
JUVMALE,4P6,52,06.23.17.4P6.JN.4
JUVFEMALE,97Z,52,08.08.17.97Z.JN.4
46Z,6C2,52,05.30.17.6C2.JN.1
JUVMALE,1P5,53,06.06.17.1P5.JN.4
9H9,6L4,53,06.05.17.6L4.JN.4
51V,93O,54,08.10.17.93O.JN.4
9H9,46Z,54,06.06.17.46Z.JN.4
24V,3R0,55,05.08.17.3R0.JN.4
JUVFEMALE,4D8,55,08.15.17.4D8.JN.1
0L5,5K0,57,07.03.17.5K0.JN.4
6D4,0M6,57,08.30.17.0M6.JN.1
JUVFEMALE,0J5,58,06.13.17.0J5.JN.4
JUVFEMALE,4D8,58,06.14.17.4D8.JN.1
JUVMALE,9L9,58,08.22.17.9L9.JN.4
JUVFEMALE,2C4,59,05.30.17.2C4.JN.4
60R,0R2,59,05.15.17.0R2.JN.4
44V,4R7,60,05.12.17.4R7.JN.1
9I8,4Q4,60,05.22.17.4Q4.JN.1
JUVMALE,97Z,61,08.21.17.97Z.JN.4
2C4,0Q5,61,05.09.17.0Q5.JN.1
JUVFEMALE,2O4,63,05.30.17.2O4.JN.4
JUVMALE,0J5,63,07.17.17.0J5.JN.4
37V,7Q3,63,05.12.17.7Q3.JN.1
JUVMALE,0K8,64,08.22.17.0K8.JN.4
1L1,25P,64,06.26.17.25P.JN.4
JUVFEMALE,9L9,65,08.03.17.9L9.JN.4
JUVMALE,51J,67,08.28.17.51J.JN.4
24V,7O3,69,06.15.17.7O3.JN.4
9L9,49V,69,08.08.17.49V.JN.4
6D9,1R7,69,07.06.17.1R7.JN.1
JUVMALE,8C9,69,07.17.17.8C9.JN.4
JUVFEMALE,6L1,70,08.10.17.6L1.JN.4
6C2,5H4,70,08.10.17.5H4.JN.4
6D4,93O,72,08.09.17.93O.JN.1
JUVMALE,4R3,73,07.28.17.4R3.JN.1
UNKJUV,51J,74,07.05.17.51J.JN.4
JUVMALE,7F0,75,06.19.17.7F0.JN.4
JUVMALE,6D9,75,08.22.17.6D9.JN.4
97Z,49V,76,08.28.17.49V.JN.1
JUVFEMALE,6M7,76,07.06.17.6M7.JN.1
37V,7Q3,76,05.30.17.7Q3.JN.4
6C2,8L3,80,08.16.17.8L3.JN.1
JUVFEMALE,6D4,81,08.28.17.6D4.JN.1
1L1,1C5,81,06.28.17.1C5.JN.1
JUVFEMALE,6M7,81,05.08.17.6M7.JN.1
49V,9L9,83,06.13.17.9L9.JN.4
JUVFEMALE,1C7,85,08.15.17.1C7.JN.4
JUVMALE,1E2,87,06.07.17.1E2.JN.4
46Z,86Z,87,08.15.17.86Z.JN.1
JUVFEMALE,0Q5,87,05.22.17.0Q5.JN.4
ADULT MALE,5K0,88,08.10.17.5K0.JN.4
JUVFEMALE,44V,88,07.03.17.44V.JN.1
8L3,0K8,90,08.31.17.0K8.JN.1
JUVMALE,64S,91,06.12.17.64S.JN.4
JUVMALE,4F1,92,06.06.17.4F1.JN.4
JUVFEMALE,6C2,93,06.05.17.6C2.JN.4
JUVFEMALE,9I8,93,08.29.17.9I8.JN.4
JUVMALE,9I8,95,06.05.17.9I8.JN.4
62R,2J7,96,05.25.17.2J7.JN.4
JUVMALE,51V,96,05.31.17.51V.JN.4
4D8,8O9,96,05.09.17.8O9.JN.1
JUVFEMALE,6D6,97,08.09.17.6D6.JN.1
JUVFEMALE,2O4,97,05.30.17.2O4.JN.4
UNKJUV,4F1,99,07.20.17.4F1.JN.4
JUVFEMALE,4D8,99,06.22.17.4D8.JN.4
1C7,6M7,100,07.03.17.6M7.JN.4
9H9,46Z,101,06.06.17.46Z.JN.4
JUVMALE,46Z,102,08.21.17.46Z.JN.4
37V,7Q3,102,05.12.17.7Q3.JN.1
JUVMALE,4P6,106,08.07.17.4P6.JN.4
JUVMALE,46Z,106,08.21.17.46Z.JN.4
62R,2J7,107,05.25.17.2J7.JN.4
JUVMALE,4M0,107,07.28.17.4M0.JN.1
JUVFEMALE,62R,107,06.14.17.62R.JN.4
27N,76J,108,05.25.17.76J.JN.4
27N,3F5,110,08.09.17.3F5.JN.4
49V,7F0,111,06.07.17.7F0.JN.4
JUVMALE,46Z,112,06.26.17.46Z.JN.1
7F0,76J,114,08.15.17.76J.JN.1
93O,2F2,114,07.03.17.2F2.JN.4
6D4,2O7,114,06.08.17.2O7.JN.1
JUVMALE,73Z,115,05.08.17.73Z.JN.1
JUVMALE,4R3,115,06.07.17.4R3.JN.4
JUVFEMALE,8I9,116,08.10.17.8I9.JN.4
JUVFEMALE,6D4,119,08.28.17.6D4.JN.1
JUVFEMALE,3F7,121,08.30.17.3F7.JN.4
83Z,5H4,122,07.20.17.5H4.JN.4
6D4,93O,123,08.09.17.93O.JN.1
JUVFEMALE,4D8,123,07.05.17.4D8.JN.4
JUVFEMALE,62R,125,06.14.17.62R.JN.4
6K6,60R,126,08.10.17.60R.JN.4
8C9,4R4,126,05.08.17.4R4.JN.4
JUVFEMALE,16R,128,06.12.17.16R.JN.4
JUVMALE,6C2,128,08.31.17.6C2.JN.1
UNKJUV,51J,128,07.05.17.51J.JN.4
JUVFEMALE,76J,130,08.03.17.76J.JN.4
JUVFEMALE,60R,130,06.27.17.60R.JN.4
JUVFEMALE,2C4,131,06.07.17.2C4.JN.4
JUVFEMALE,24V,131,08.31.17.24V.JN.4
JUVFEMALE,11Z,131,07.20.17.11Z.JN.4
24V,8L3,131,08.10.17.8L3.JN.4
3F7,9Q5,133,06.08.17.9Q5.JN.1
UNKNOWN,24V,134,08.31.17.24V.JN.4
37V,1M8,136,05.22.17.1M8.JN.4
JUVFEMALE,9Q5,142,06.23.17.9Q5.JN.4
JUVFEMALE,6C2,144,08.10.17.6C2.JN.4
JUVFEMALE,2C3,144,06.06.17.2C3.JN.4
1C7,49V,150,06.13.17.49V.JN.4
27N,3F5,150,08.31.17.3F5.JN.1
25P,3R9,150,07.06.17.3R9.JN.4
6D9,7I8,153,08.29.17.7I8.JN.1
JUVFEMALE,2J7,154,08.15.17.2J7.JN.4
98Z,37V,154,07.03.17.37V.JN.1
93O,9H9,159,05.16.17.9H9.JN.4
JUVFEMALE,24V,159,06.22.17.24V.JN.4
JUVMALE,64S,163,08.29.17.64S.JN.4
76J,8L3,165,06.28.17.8L3.JN.1
7I8,8I9,166,08.10.17.8I9.JN.4
76J,27N,167,08.15.17.27N.JN.1
27N,2J7,168,05.22.17.2J7.JN.4
49V,97Z,168,05.22.17.97Z.JN.4
JUVMALE,7Q3,169,06.07.17.7Q3.JN.4
JUVFEMALE,1C7,169,06.23.17.1C7.JN.4
JUVMALE,1P5,170,07.17.17.1P5.JN.4
76J,2J7,171,08.09.17.2J7.JN.4
JUVMALE,0J5,171,05.16.17.0J5.JN.4
JUVFEMALE,3Q9,172,05.16.17.3Q9.JN.4
2J7,62R,173,06.23.17.62R.JN.4
6A9,4M9,173,05.23.17.4M9.JN.1
UNKJUV,6D4,178,08.08.17.6D4.JN.1
3F5,94H,178,08.28.17.94H.JN.4
JUVMALE,6L4,183,07.05.17.6L4.JN.4
JUVFEMALE,3G3,186,08.30.17.3G3.JN.4
6C2,83Z,187,08.31.17.83Z.JN.1
JUVFEMALE,99L,187,07.31.17.99L.JN.1
JUVFEMALE,24V,189,07.18.17.24V.JN.4
JUVFEMALE,6A9,189,08.31.17.6A9.JN.1
JUVFEMALE,0Q5,193,08.07.17.0Q5.JN.4
4D8,8O9,195,06.07.17.8O9.JN.4
6D9,8I9,195,08.10.17.8I9.JN.4
44V,37V,196,08.31.17.37V.JN.1
JUVFEMALE,1E2,196,07.28.17.1E2.JN.4
JUVMALE,3F7,199,06.23.17.3F7.JN.4
JUVMALE,9I8,207,06.05.17.9I8.JN.4
1C7,4M9,208,05.25.17.4M9.JN.4
JUVMALE,51V,211,06.19.17.51V.JN.4
24V,7O3,212,06.09.17.7O3.JN.1
JUVMALE,4F1,212,06.12.17.4F1.JN.4
JUVFEMALE,6D6,213,07.03.17.6D6.JN.4
1L1,99L,213,07.20.17.99L.JN.4
9H9,1S5,213,08.30.17.1S5.JN.1
JUVFEMALE,62R,215,05.24.17.62R.JN.1
ADULT FEMALE,3M3,218,05.08.17.3M3.JN.4
76J,3Q9,224,05.22.17.3Q9.JN.1
49V,9L9,228,06.05.17.9L9.JN.4
JUVFEMALE,98Z,230,08.30.17.98Z.JN.4
JUVMALE,51J,230,08.10.17.51J.JN.4
JUVFEMALE,6D9,235,07.31.17.6D9.JN.4
JUVFEMALE,9N6,239,05.22.17.9N6.JN.4
3G3,4R7,240,05.15.17.4R7.JN.4
7I8,7J7,242,08.10.17.7J7.JN.4
6A9,44V,244,05.16.17.44V.JN.4
51J,6C2,244,06.12.17.6C2.JN.1
6L1,4R7,248,05.12.17.4R7.JN.1
6C2,2R9,253,07.28.17.2R9.JN.4
7I8,0K8,254,07.20.17.0K8.JN.4
11Z,60R,256,05.30.17.60R.JN.4
JUVMALE,8C9,259,06.22.17.8C9.JN.4
JUVFEMALE,93O,261,08.03.17.93O.JN.4
JUVFEMALE,83Z,261,08.22.17.83Z.JN.1
8L3,94H,263,06.23.17.94H.JN.4
JUVMALE,46Z,267,08.09.17.46Z.JN.4
JUVMALE,6C2,268,08.09.17.6C2.JN.1
6D9,6C2,269,07.31.17.6C2.JN.4
JUVMALE,4F1,273,07.03.17.4F1.JN.4
JUVFEMALE,6D9,277,07.03.17.6D9.JN.4
JUVFEMALE,83Z,277,07.31.17.83Z.JN.4
JUVMALE,73Z,277,07.18.17.73Z.JN.4
JUVFEMALE,2F2,277,06.21.17.2F2.JN.1
51V,6D4,280,06.23.17.6D4.JN.4
JUVMALE,5K0,290,06.22.17.5K0.JN.4
JUVMALE,5J3,292,06.22.17.5J3.JN.4
JUVFEMALE,5H4,292,06.28.17.5H4.JN.1
JUVFEMALE,7F0,300,08.31.17.7F0.JN.4
27J,6D6,302,06.07.17.6D6.JN.4
JUVFEMALE,94H,305,08.10.17.94H.JN.4
JUVFEMALE,1P5,307,06.15.17.1P5.JN.4
6C2,2R9,308,05.16.17.2R9.JN.4
5H4,94H,309,06.06.17.94H.JN.4
JUVFEMALE,0K8,310,06.13.17.0K8.JN.4
1E2,2J7,310,06.26.17.2J7.JN.1
27N,5H4,310,05.11.17.5H4.JN.1
60R,56K,310,07.05.17.56K.JN.4
JUVMALE,6A9,310,08.30.17.6A9.JN.4
JUVFEMALE,3R9,311,06.09.17.3R9.JN.1
UNKJUV,73Z,311,06.22.17.73Z.JN.4
UNKJUV,8C9,311,08.29.17.8C9.JN.4
1E2,86Z,312,08.03.17.86Z.JN.4
11Z,4M9,313,07.28.17.4M9.JN.4
JUVMALE,4R3,313,08.15.17.4R3.JN.4
JUVMALE,6A9,313,08.31.17.6A9.JN.1
JUVMALE,7Q3,313,08.07.17.7Q3.JN.4
JUVMALE,4D8,313,06.22.17.4D8.JN.4
24V,8L3,314,05.22.17.8L3.JN.4
JUVFEMALE,1P0,314,07.06.17.1P0.JN.4
5H4,1P0,314,05.11.17.1P0.JN.4
JUVFEMALE,37V,317,06.27.17.37V.JN.4
16R,93O,317,08.31.17.93O.JN.4
