groom.giver,groom.reciever,duration,observation.session
V80,6I4,163,10.10.16.V80.JN.4
2C0,JUVMALE,60,08.29.16.2C0.JN.4
4N7,43N,167,09.08.16.4N7.JN.4
5J6,UNKNOWNJUV,126,10.05.16.5J6.JN.4
2C0,JUVMALE,138,08.29.16.2C0.JN.4
5J6,UNKNOWNJUV,42,10.05.16.5J6.JN.4
48V,UNKNOWNJUV,41,09.14.16.48V.JN.4
2E9,UNKNOWNJUV,44,08.29.16.2E9.JN.4
4I9,UNKNOWNJUV,39,09.06.16.4I9.JN.4
9P6,94S,29,09.02.16.9P6.JN.4
4I9,UNKNOWNJUV,72,09.06.16.4I9.JN.4
6H6,62S,14,09.14.16.6H6.JN.4
2C7,UNKNOWNJUV,251,09.06.16.2C7.JN.4
8L6,JUVMALE,53,09.20.16.8L6.JN.4
4J3,UNKNOWNJUV,72,09.14.16.4J3.JN.4
4L8,5I9,86,08.23.16.4L8.JN.4
0B9,UNKNOWNJUV,311,09.14.16.0B9.JN.4
5P6,94O,82,10.12.16.5P6.JN.4
20S,JUVFEMALE,44,08.11.16.20S.JN.5
4I9,JUVMALE,93,09.03.16.4I9.JN.5
4N7,5D1,59,08.23.16.4N7.JN.5
3L6,77S,37,09.08.16.3L6.JN.5
V80,36O,19,08.17.16.V80.JN.5
6H6,0B9,147,08.23.16.6H6.JN.5
6B4,UNKNOWNJUV,87,09.20.16.6B4.JN.5
2E8,JUVMALE,85,08.11.16.2E8.JN.5
4L8,41N,65,09.21.16.4L8.JN.5
6H6,4J3,267,09.03.16.6H6.JN.5
65Z,JUVMALE,54,08.23.16.65Z.JN.5
65Z,2E8,56,09.12.16.65Z.JN.5
9I5,5B6,45,08.17.16.9I5.JN.5
1Q8,6I4,312,09.28.16.1Q8.JN.5
0B9,JUVMALE,44,09.26.16.0B9.JN.5
4J0,JUVMALE,176,10.06.16.4J0.JN.5
5B6,94O,183,09.03.16.5B6.JN.5
77S,UNKNOWNJUV,103,09.26.16.77S.JN.5
4N8,30V,149,10.05.16.4N8.JN.5
7E3,62S,35,08.23.16.7E3.JN.5
43N,94O,140,09.21.16.43N.JN.5
0B9,JUVMALE,108,08.09.16.0B9.JN.5
55R,JUVMALE,140,09.12.16.55R.JN.5
55R,65Z,86,08.29.16.55R.JN.5
4J0,JUVMALE,39,09.01.16.4J0.JN.5
4J6,80S,18,09.27.16.4J6.JN.5
3P2,JUVMALE,111,08.23.16.3P2.JN.5
0M2,2E8,53,08.10.16.0M2.JN.5
5B6,2J8,40,09.27.16.5B6.JN.5
4L8,9I5,299,08.15.16.4L8.JN.6
0G3,62S,180,08.22.16.0G3.JN.6
0M2,1G8,22,08.10.16.0M2.JN.5
8K7,77S,209,09.28.16.8K7.JN.6
55R,JUVFEMALE,83,10.06.16.55R.JN.6
77S,JUVMALE,225,08.22.16.77S.JN.6
36O,JUVMALE,34,09.27.16.36O.JN.6
7L0,03Z,247,09.28.16.7L0.JN.6
55R,JUVFEMALE,27,10.06.16.55R.JN.6
16S,JUVMALE,73,08.19.16.16S.JN.6
2E9,UNKNOWNJUV,204,09.06.16.2E9.JN.6
0K1,31V,323,10.05.16.0K1.JN.6
5N1,JUVFEMALE,68,08.22.16.5N1.JN.6
5N1,JUVFEMALE,163,08.22.16.5N1.JN.6
9N0,3L6,269,10.06.16.9N0.JN.6
6H6,77S,197,10.06.16.6H6.JN.6
9N0,JUVFEMALE,310,08.10.16.9N0.JN.6
2C0,UNKNOWNJUV,59,09.21.16.2C0.JN.6
4J3,0G3,108,10.06.16.4J3.JN.6
6B4,1B7,108,09.12.16.6B4.JN.6
3L6,2E9,314,10.05.16.3L6.JN.6
56R,2E9,90,08.15.16.56R.JN.6
5B6,JUVFEMALE,20,08.17.16.5B6.JN.6
56R,2E9,63,08.15.16.56R.JN.6
16S,UNKNOWNJUV,31,09.13.16.16S.JN.6
5B6,94O,313,10.10.16.5B6.JN.6
22H,43N,45,08.17.16.43N.JN.1
3L5,4I9,62,09.19.16.4I9.JN.1
9I5,5I9,75,08.22.16.5I9.JN.1
6H6,0B9,51,09.13.16.0B9.JN.1
77S,2C0,69,09.20.16.2C0.JN.1
UNKNOWNJUV,2C0,59,09.20.16.2C0.JN.1
JUVMALE,9I7,94,09.21.16.9I7.JN.1
5J6,4N5,115,09.08.16.4N5.JN.2
94S,4N5,135,09.13.16.4N5.JN.2
JUVFEMALE,4J0,41,08.08.16.4J0.JN.2
1B7,94O,99,08.30.16.94O.JN.2
V80,56R,28,09.03.16.56R.JN.2
JUVMALE,43N,35,08.29.16.43N.JN.2
6H6,62S,69,10.07.16.62S.JN.2
UNKNOWNJUV,4J6,242,08.13.16.4J6.JN.2
JUVMALE,2E8,253,09.07.16.2E8.JN.2
80S,1B7,230,09.15.16.1B7.JN.2
JUVFEMALE,4J6,26,08.13.16.4J6.JN.2
6H6,0B9,143,08.11.16.0B9.JN.2
JUVMALE,0B9,55,08.11.16.0B9.JN.2
16S,7L7,312,09.28.16.7L7.JN.2
JUVMALE,5P6,108,08.13.16.5P6.JN.2
JUVMALE,4J6,199,09.07.16.4J6.JN.2
JUVMALE,4J0,193,10.07.16.4J0.JN.2
JUVMALE,9P5,42,09.12.16.9P5.JN.2
UNKNOWNJUV,3L6,181,09.28.16.3L6.JN.2
JUVFEMALE,3L6,105,08.15.16.3L6.JN.2
JUVMALE,20S,166,08.17.16.20S.JN.2
5J6,4I9,79,08.11.16.4I9.JN.2
JUVMALE,3L6,108,08.15.16.3L6.JN.2
80S,20S,89,09.26.13.20S.JN.2
JUVFEMALE,6B4,50,08.08.16.6B4.JN.2
UNKNOWNJUV,4J3,197,09.07.16.4J3.JN.2
JUVFEMALE,4N5,54,08.23.16.4N5.JN.2
V80,2E9,65,08.10.16.2E9.JN.2
JUVMALE,2E9,129,09.12.16.2E9.JN.2
2C7,56R,247,10.06.16.56R.JN.2
JUVFEMALE,4N5,101,08.23.16.4N5.JN.2
JUVMALE,2E9,95,09.12.16.2E9.JN.2
2C7,56R,35,10.06.16.56R.JN.2
JUVMALE,43N,91,10.07.16.43N.JN.2
JUVFEMALE,4N7,312,10.06.16.4N7.JN.2
7E3,8E2,161,10.05.16.8E2.JN.3
JUVFEMALE,3L6,310,10.10.16.3L6.JN.3
5J6,36O,278,10.05.16.36O.JN.3
62S,3P7,56,09.23.16.3P7.JN.3
JUVMALE,20S,84,09.12.16.20S.JN.3
2E8,3P2,127,09.28.16.3P2.JN.3
2E8,0M2,158,10.06.16.0M2.JN.3
5J6,9P6,176,10.10.16.9P6.JN.3
36O,7E0,46,08.10.16.7E0.JN.3
2E8,3P2,167,08.18.16.3P2.JN.3
6B4,9P5,24,08.23.16.9P5.JN.3
JUVMALE,2E8,55,08.29.16.2E8.JN.3
0B9,1Q8,189,08.08.16.1Q8.JN.3
3L6,4J3,127,09.03.16.4J3.JN.3
JUVFEMALE,5J6,69,09.08.16.5J6.JN.3
80S,77S,95,10.06.16.77S.JN.3
JUVMALE,77S,180,09.13.16.77S.JN.3
UNKNOWNJUV,77S,79,09.13.16.77S.JN.3
3A9,3N4,162,10.07.16.3N4.JN.3
56R,3A9,312,08.29.16.3A9.JN.3
JUVMALE,77S,60,09.13.16.77S.JN.3
3A9,3N4,24,10.07.16.3N4.JN.3
2C0,1B7,234,09.03.16.1B7.JN.4
2C0,1B7,12,09.03.16.1B7.JN.4
5B6,7E3,90,08.11.16.7E3.JN.4
1B7,4J0,17,09.12.16.4J0.JN.4
2E8,3P2,29,09.12.16.3P2.JN.4
JUVMALE,4N8,41,09.14.16.4N8.JN.4
2E8,3P2,75,09.12.16.3P2.JN.4
JUVFEMALE,62S,205,08.11.16.62S.JN.4
1B7,2C0,74,08.29.16.2C0.JN.4
62S,20S,320,09.02.16.20S.JN.4
V80,36O,18,10.10.16.36O.JN.4
5J6,4I9,71,09.06.16.4I9.JN.4
1G8,9I5,139,09.12.16.9I5.JN.4
2J8,6I4,160,09.26.16.6I4.JN.4
JUVFEMALE,4J3,239,09.14.16.4J3.JN.4
JUVFEMALE,5P6,17,08.11.16.5P6.JN.4
JUVFEMALE,5P6,115,10.12.16.5P6.JN.4
JUVMALE,6I4,88,09.13.16.6I4.JN.4
9I5,4L8,19,08.23.16.4L8.JN.4
77S,5P6,81,10.12.16.5P6.JN.4
6H6,4N7,311,10.12.16.4N7.JN.4
UNKNOWNJUV,3L6,225,09.08.16.3L6.JN.5
JUVFEMALE,0B9,56,10.06.16.0B9.JN.4
UNKNOWNJUV,2E9,77,09.13.16.2E9.JN.5
3L6,4J3,191,09.28.16.4J3.JN.5
UNKNOWNJUV,22H,151,09.12.16.22H.JN.5
UNKNOWNJUV,6B4,229,09.20.16.6B4.JN.5
JUVMALE,5H7,283,09.20.16.5H7.JN.5
JUVMALE,6B4,115,08.15.16.6B4.JN.5
JUVMALE,6B4,78,08.15.16.6B4.JN.5
JUVFEMALE,0B9,149,09.26.16.0B9.JN.5
JUVMALE,2E9,189,09.27.16.2E9.JN.5
62S,7L7,162,10.06.16.7L7.JN.5
JUVMALE,0M2,100,08.30.16.0M2.JN.5
JUVMALE,77S,314,09.14.16.77S.JN.5
5B6,94O,286,08.22.16.94O.JN.5
JUVMALE,0M2,28,08.30.16.0M2.JN.5
JUVFEMALE,8K7,15,10.05.16.8K7.JN.5
JUVMALE,8E2,35,08.11.16.8E2.JN.5
UNKNOWNJUV,5B6,258,08.30.16.5B6.JN.5
JUVFEMALE,3A9,146,08.22.16.3A9.JN.5
48V,5B6,101,08.30.16.5B6.JN.5
JUVFEMALE,5N1,30,08.15.16.5N1.JN.5
65Z,7L7,42,09.26.16.7L7.JN.5
UNKNOWNJUV,5P6,166,09.20.16.5P6.JN.5
9I7,49Z,46,09.13.16.49Z.JN.5
7E0,7L7,316,08.17.16.7L7.JN.5
30V,4N8,27,10.05.16.4N8.JN.5
2E9,3L6,84,09.14.16.3L6.JN.5
JUVFEMALE,5P6,56,09.20.16.5P6.JN.5
JUVFEMALE,5J6,126,08.10.16.5J6.JN.5
JUVFEMALE,62S,140,10.06.16.62S.JN.5
JUVFEMALE,0M2,48,08.10.16.0M2.JN.5
62S,0G3,52,08.22.16.0G3.JN.6
1G8,0M2,133,08.10.16.0M2.JN.5
JUVFEMALE,65Z,174,09.07.16.65Z.JN.5
9I5,4L8,20,08.15.16.4L8.JN.6
4J0,6I4,242,08.09.16.6I4.JN.6
7E3,5B6,183,09.14.16.5B6.JN.6
JUVFEMALE,55R,84,10.06.16.55R.JN.6
3L6,36O,78,09.27.16.36O.JN.6
JUVFEMALE,6B4,66,08.29.16.6B4.JN.6
0G3,5B6,46,09.14.16.5B6.JN.6
JUVMALE,4J0,98,08.10.16.4J0.JN.6
03Z,7L0,51,09.28.16.7L0.JN.6
55R,65Z,59,08.09.16.65Z.JN.6
JUVFEMALE,5N1,34,08.22.16.5N1.JN.6
56R,94O,238,09.14.16.94O.JN.6
JUVFEMALE,56R,140,09.27.16.56R.JN.6
4J6,5P6,128,09.26.16.5P6.JN.6
4J0,80S,23,09.07.16.80S.JN.6
3L6,9N0,19,10.06.16.9N0.JN.6
JUVFEMALE,3L6,310,08.22.16.3L6.JN.6
UNKNOWNJUV,6H6,65,10.06.16.6H6.JN.6
JUVMALE,65Z,94,08.17.16.65Z.JN.6
JUVMALE,65Z,193,08.17.16.65Z.JN.6
1B7,6B4,71,09.12.16.6B4.JN.6
JUVFEMALE,4J3,135,10.06.16.4J3.JN.6
UNKNOWNJUV,3L6,113,09.26.16.3L6.JN.6
2E9,80S,236,08.23.16.80S.JN.6
JUVFEMALE,5B6,59,08.17.16.5B6.JN.6
03Z,7L0,62,10.06.16.7L0.JN.6
JUVFEMALE,2E8,66,10.06.16.2E8.JN.6
